Aphrika	Afrika
Brussel	Stadt Brüssel
Kuwa	Kuba
Bilisi	Belize
Yatana llumpa	Tastatur
Indunisya	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turku simi	Türkische Sprache
Urin Aphrika	Südafrika
Alhirya	Algerien
Usbiksuyu	Usbekistan
Poznań	Posen
Warszawa	Warschau
Modena	Modena
Winu	Wein
Yaku	Wasser
Qiru	Holz
Ñawikaruy	Fernsehen
Islandya simi	Isländische Sprache
Claude Monet	Claude Monet
Diego Velázquez	Diego Rodríguez de Silva y Velázquez
Chili	Chile
El Greco	El Greco
Jesus	Jesus Christus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Qatuylla	Merkur (Planet)
Wiñay kawsay	Geschichte
Ch'aska	Venus (Planet)
Rimay	Sprache
Khuyay	Liebe
Llaqta saruy	Diktatur
Ñuñu warani	Galaxie
Pirwa	Jupiter (Planet)
Michelle Bachelet	Michelle Bachelet
Qullqaquyllur	Milchstraße
Hatun t'uqyay	Urknall
Uranu (puriq quyllur)	Uranus (Planet)
Nicolas Sarkozy	Nicolas Sarkozy
Niptun (puriq quyllur)	Neptun (Planet)
Quyllur yachay	Astronomie
Singapur	Singapur
Hamut'ay	Wissenschaft
Plutun (tuna puriq quyllur)	Pluto
Montreal	Montreal
Qhipa pacha	Zukunft
Qullana Mariya	Maria (Mutter Jesu)
Liechtenstein	Liechtenstein
Kurku kallpanchay	Sport
Cambridge	Cambridge
Yellowstone mamallaqta parki	Yellowstone-Nationalpark
Adolf Hitler	Adolf Hitler
Huk ñiqin pachantin maqanakuy	Erster Weltkrieg
Iskay ñiqin pachantin maqanakuy	Zweiter Weltkrieg
Köln	Köln
Pacha tupuq	Uhr
Skopje	Skopje
Gdynia	Gdynia
Linux	Linux
Szczecin	Stettin
Yupay yachay	Mathematik
U2	U2 (Band)
Latin simi	Latein
Bahrayn	Bahrain
Arminya	Armenien
Sirbya	Serbien
Killa	Mond
Istanbul	Istanbul
Awstralya	Australien
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Pachaykamay	Physik
Arhintina	Argentinien
Piruw	Peru
Kawsay yachay	Biologie
Chusun Runakapaq Runallaqta Republika	Nordkorea
Kambuya	Kambodscha
Quran	Koran
Dinusawru	Dinosaurier
Suwuluhiya	Zoologie
Islam	Islam
Pira	Birnen
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Butanika	Botanik
Lech Wałęsa	Lech Wałęsa
Qalla	Rad
Thak	Frieden
Lyon	Lyon
Iwrupa Huñu	Europäische Union
Rhône-Alpes	Rhône-Alpes
Warmi	Frau
Sofiya	Sofia
Witkhu	Aquädukt
Ñ	Ñ
Don Quijote	Don Quijote
Harawi	Poesie
Qilla	Faulheit
Antañiqiq añaw	Computervirus
Asikuy	Lächeln
Milano	Mailand
Yuyay	Gedächtnis
Torino	Turin
Aka	Kot
Sip'uti	Anus
Puquy k'allku	Zitrone
Émile Zola	Émile Zola
666	666
Tuktu	Blüte
Chomolungma	Mount Everest
Kurkumanta yachay	Anatomie
Hatun llaqta	Stadt
Napoléon Bonaparte	Napoleon Bonaparte
Quyllur	Stern
Inti	Sonne
Hanaq pacha	Himmel (planetär)
Louis Pasteur	Louis Pasteur
Achkiy wata	Lichtjahr
Uchuy llaqta	Dorf
Victor Hugo	Victor Hugo
Usiyanya	Ozeanien
Giuseppe Garibaldi	Giuseppe Garibaldi
Kallpanakuy	Leichtathletik
Inti Llika	Sonnensystem
Baltiku hatun qucha	Ostsee
Trieste	Triest
Kiru	Zahn
Yakuchaq	Wasserstoff
Ilyu	Helium
Ukhu pacha	Hölle
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lityu	Lithium
Berilyu	Beryllium
Ruqyaq	Lautsprecher
Liwru	Buch
P'unchaw	Tag
Anti Timur	Osttimor
Tuta	Nacht
Wata	Jahr
Pachakwata	Jahrhundert
Łódź	Łódź
Rhein	Rhein
Oslo	Oslo
Bonn	Bonn
Tukuy Santukuna	Allerheiligen
Katowice	Katowice
Luís de Camões	Luís de Camões
Chinaku	Gay
Siris (tuna puriq quyllur)	(1) Ceres
Lisboa	Lissabon
Rzeszów	Rzeszów
Haumea (puriq quyllur)	(136108) Haumea
Makemake (tuna puriq quyllur)	(136472) Makemake
Eris (tuna puriq quyllur)	(136199) Eris
Lionel Messi	Lionel Messi
Padova	Padua
Boru	Bor
Nicolaus Copernicus	Nikolaus Kopernikus
K'illimsayaq	Kohlenstoff
Alessandro Del Piero	Alessandro Del Piero
Qullpachaq	Stickstoff
Bergamo	Bergamo
Muksichaq	Sauerstoff
Inter Milano	Inter Mailand
Pachahina	Planet
Kleopatra VII	Kleopatra VII.
Taki kapchiy	Musik
Venezia	Venedig
Rennes	Rennes
Lille	Lille
Moskwa	Moskau
Flur	Fluor
Italya simi	Italienische Sprache
Niyun	Neon
Chihuahua suyu	Chihuahua (Bundesstaat)
Sankt Peterburg	Sankt Petersburg
Chad	Tschad
Natriyu	Natrium
Chincha	Norden
Qunta q'illay	Magnesium
Ch'aqu q'illay	Aluminium
Musuq Silanda	Neuseeland
Urin	Süden
Indya	Indien
Ullayayaq	Silicium
Fransyu	Francium
Tuwalu	Tuvalu
Phusphuru	Phosphor
Khillay	Eisen
Tunqa	Tonga
Kunti	Westen
Alessandro Volta	Alessandro Volta
Salina	Schwefel
Samwa	Samoa
Anti	Osten
Salumun wat'akuna	Salomonen
Wanwatu	Vanuatu
Molière	Molière
Kluru	Chlor
Delft	Delft
Papwa Ñukini	Papua-Neuguinea
William Shakespeare	William Shakespeare
Zuid-Holland pruwinsya	Provinz Südholland
Palaw	Palau
Argun	Argon
Nawru	Nauru
Noord-Holland pruwinsya	Provinz Nordholland
Mikrunisya (mama llaqta)	Föderierte Staaten von Mikronesien
Kalyu	Kalium
Zeeland pruwinsya	Provinz Zeeland
Isku q'illay	Calcium
Flevoland pruwinsya	Provinz Flevoland
Titi	Blei
Marshall Wat'akuna	Marshallinseln
Kiribati	Kiribati
Mungul suyu	Mongolei
Phiyi	Fidschi
Iskandyu	Scandium
Titanyu	Titan (Element)
Winisuyla	Venezuela
Qhapaq chunkana	Schach
Wanadyu	Vanadium
Maine suyu	Maine
Krumu	Chrom
Kawallu	Hauspferd
Amsterdam	Amsterdam
Ayñi	Waffe
Uywa	Tier
Surinam	Suriname
Manganisu	Mangan
Parawayi	Paraguay
Wayana	Guyana
Kapchiy	Kunst
Ikwadur	Ecuador
Renyu	Rhenium
Kulumbya	Kolumbien
Kubaltu	Cobalt
Wolframyu	Wolfram
Nikil	Nickel
Muntipuquy	Erdbeeren
Budismu	Buddhismus
Groningen	Groningen
Puliwya	Bolivien
Osmiyu	Osmium
Groningen pruwinsya	Provinz Groningen
Anta	Kupfer
Trinidad Tubaguwan	Trinidad und Tobago
Yura	Pflanzen
Tsinku	Zink
New Hampshire suyu	New Hampshire
Santa Lusiya wat'a	St. Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
San Kits Niwiswan	St. Kitts und Nevis
K'allampa	Pilze
Shamayka	Jamaika
Grinada	Grenada
Friesland pruwinsya	Provinz Friesland
Massachusetts suyu	Massachusetts
Drenthe pruwinsya	Provinz Drente
Overijssel pruwinsya	Provinz Overijssel
Watimala	Guatemala
Gelderland	Provinz Gelderland
Utrecht pruwinsya	Provinz Utrecht
Bahamakuna	Bahamas
Connecticut suyu	Connecticut
Wallpa	Haushuhn
Hawaii suyu	Hawaii
Unduras	Honduras
Duminika	Dominica
Duminikana	Dominikanische Republik
Khuchi	Hausschwein
Artiku mama qucha	Arktischer Ozean
Ayti (mama llaqta)	Haiti
Salwadur	El Salvador
Zwolle	Zwolle
Iran	Iran
Iraq	Irak
Alaska suyu	Alaska
Assen	Assen
Kustarika	Costa Rica
Israyil	Israel
Nowy Sącz	Nowy Sącz
Utrecht	Utrecht
Panama	Panama
Yaman	Jemen
Lausanne	Lausanne
Añaw	Viren
Pulaku simi	Polnische Sprache
Hurdanya	Jordanien
Nikarawa	Nicaragua
Florida suyu	Florida
Kirkisuyu	Kirgisistan
Arizona suyu	Arizona
Kuwait	Kuwait
Florida pruwinsya	Provinz Florida
Law suyu	Laos
Qincha pruwinsya (Beni)	Provinz Cercado (Beni)
Libanu	Libanon
Iténez pruwinsya	Provinz Iténez
Oregon suyu	Oregon
Maldiwakuna	Malediven
José Ballivián pruwinsya	Provinz Ballivián
Awya Yala (Mulanpi)	Amerika
Utah suyu	Utah
Waaka	Hausrind
Mamuriy pruwinsya	Provinz Mamoré
Malasya	Malaysia
Myanmar	Myanmar
Nipal	Nepal
Marbán pruwinsya	Provinz Marbán
Uman	Oman
Pakistan	Pakistan
Qatar	Katar
Sawud Arabya	Saudi-Arabien
Sri Lanka	Sri Lanka
Yosif Stalin	Josef Stalin
Sirya	Syrien
Platon	Platon
Galyu	Gallium
Tayiksuyu	Tadschikistan
Chunwa Republika	Republik China (Taiwan)
Germanyu	Germanium
Aristotelis	Aristoteles
Thaysuyu	Thailand
Antakuru	Zug (Eisenbahn)
Arsiniku	Arsen
Ankichiy	Hörfunk
Turkminsuyu	Turkmenistan
Silinyu	Selen
Iridyu	Iridium
Hukllachasqa Arab Imiratukuna	Vereinigte Arabische Emirate
Bromu	Brom
Qullqiya	Platin
Witnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Nowosibirsk	Nowosibirsk
Tayhan Republika	Südkorea
Jekaterinburg	Jekaterinburg
Kriptun	Krypton
Afgansuyu	Afghanistan
Nizhniy Novgorod	Nischni Nowgorod
John Ronald Reuel Tolkien	J. R. R. Tolkien
Samara	Samara
Rubidyu	Rubidium
Quri	Gold
Omsk	Omsk
Kazan	Kasan
Yachaq	Wissenschaftler
Banladish	Bangladesch
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa (Stadt)
Mali	Mali
Sokratis	Sokrates
Angula	Angola
Butan	Bhutan
Bruniy	Brunei
Tansanya	Tansania
Yaku qullqi	Quecksilber
Roald Amundsen	Roald Amundsen
Philipinakuna	Philippinen
Chawpi Aphrika Ripuwlika	Zentralafrikanische Republik
Thalyu	Thallium
Urin qhipa	Südpol
Chinchay qhipa	Nordpol
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Istronsyu	Strontium
Itriyu	Yttrium
Wismutu	Bismut
Q'illu	Gelb
Tugu	Togo
Donald Tusk	Donald Tusk
Tunisya	Tunesien
John Bardeen	John Bardeen
Sambya	Sambia
Simbabwi	Simbabwe
Pikkin	Peking
Urin Sudan	Südsudan
Binin	Benin
Butswana	Botswana
Burkina Phasu	Burkina Faso
Burundi	Burundi
Kumurakuna	Komoren
Kungu Ripuwlika	Republik Kongo
Obi mayu	Ob
Kungu Runakamaq Ripuwlika	Demokratische Republik Kongo
San Antonio (Texas)	San Antonio
Yiwuti	Dschibuti
Polonyu	Polonium
Bayern	Bayern
Chawpipacha Khiniya	Äquatorialguinea
Baden-Württemberg	Baden-Württemberg
Iritriya	Eritrea
Musuq Dilhi	Neu-Delhi
Huwan Pawlu II	Johannes Paul II.
Fedor Dostoievski	Fjodor Michailowitsch Dostojewski
Tbilisi	Tiflis
Pallpa	Säugling
Astatu	Astat
Gabun	Gabun
Mohandas Gandhi	Mohandas Karamchand Gandhi
Siq'isqa rikchasapa willakuy	Comic
Gambya	Gambia
Khiniya	Guinea
Khiniya-Wisaw	Guinea-Bissau
Marphil Chala	Elfenbeinküste
Kamirun	Kamerun
Q'umir Kawu	Kap Verde
Suthusuyu	Lesotho
Libirya	Liberia
Libya	Libyen
Aachen	Aachen
Madagaskar	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Muritanya	Mauretanien
Mawrisyu	Mauritius
Maruku	Marokko
Musambik	Mosambik
Namiwya	Namibia
Niqir	Niger
Niqirya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Ruanda
Sirkonyu	Zirconium
Santu Tumiy Prinsipipas	São Tomé und Príncipe
Sinigal	Senegal
Sichillakuna	Seychellen
Carl von Linné	Carl von Linné
Liyun Urqu	Sierra Leone
Sumalya	Somalia
Niyobyu	Niob
Jawaharlal Nehru	Jawaharlal Nehru
Gaius Iulius Caesar	Gaius Iulius Caesar
Sudan	Sudan
Swasisuyu	Swasiland
K'uychi	Regenbogen
Molibdenu	Molybdän
Teknesyu	Technetium
Hamburg	Hamburg
Imayay yamkiy	Stoffwechsel
Unquy hark'ay	Immunsystem
Ontario qucha	Ontariosee
Rikch'aqyay	Evolution
Huñusqa Nasyunkuna	Vereinte Nationen
Hananqucha	Oberer See
Dante Alighieri	Dante Alighieri
Allpa saywachi	Geographie
Sunqu	Herz
Ñutqu	Gehirn
Qara	Haut
Llimphi	Farbe
Salerno	Salerno
Sutirimana	Substantiv
Praha	Prag
Ruthenyu	Ruthenium
Rodyu	Rhodium
Anqas	Blau
Paladyu	Palladium
Qullqi q'illay	Silber
Kadmiyu	Cadmium
Limburg (Urasuyu) pruwinsya	Provinz Limburg (Niederlande)
Indyu	Indium
Chayanta	Zinn
Uranyu	Uran
Antimunyu	Antimon
Teluryu	Tellur
Noord-Brabant pruwinsya	Provinz Nordbrabant
Plutonyu	Plutonium
Yudu	Iod
Neptunyu	Neptunium
Senun	Xenon
Anime	Anime
Sesyu	Caesium
Protaktinyu	Protactinium
Pinchikilla chaqna	Elektrische Ladung
Baryu	Barium
Thoryu	Thorium
Hafniyu	Hafnium
Aktinyu	Actinium
Tantalyu	Tantal
Bill Clinton	Bill Clinton
Radyu q'illay	Radium
Radun	Radon
Lorraine	Lothringen
Alsace	Elsass
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Auvergne	Auvergne
Busto Arsizio	Busto Arsizio
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Michigan suyu	Michigan
Michigan qucha	Michigansee
Bourgogne	Burgund
Aquitaine	Aquitanien
Burinkin	Puerto Rico
Limousin	Limousin
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Niedersachsen
Nordrhein-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rheinland-Pfalz
Saarland	Saarland
Sachsen	Sachsen
John Lennon	John Lennon
Illinois suyu	Illinois
Thüringen	Thüringen
Sachsen-Anhalt	Sachsen-Anhalt
North Dakota suyu	North Dakota
Brandenburg	Brandenburg
Bremen suyu	Freie Hansestadt Bremen
Lombardia	Lombardei
South Dakota suyu	South Dakota
Montana suyu	Montana
Wyoming suyu	Wyoming
Piemonte	Piemont
Yerushalayim	Jerusalem
Idaho suyu	Idaho
Washington suyu	Washington (Staat)
Rutherfordyu	Rutherfordium
Nevada suyu	Nevada
Dubniyu	Dubnium
Seaborgyu	Seaborgium
Trentino Urin Tirul	Trentino-Südtirol
Indiku mama qucha	Indischer Ozean
Luigi Einaudi	Luigi Einaudi
Veneto	Venetien
Kusuwu	Kosovo
Bohriyu	Bohrium
Hasyu	Hassium
Kofi Annan	Kofi Annan
Liguria	Ligurien
Butros Butros-Ghali	Boutros Boutros-Ghali
Meitneryu	Meitnerium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado suyu	Colorado
Emilia-Romagna	Emilia-Romagna
U Thant	U Thant
Darmstadtiyu	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Roentgenyu	Roentgenium
Toscana	Toskana
Kopernisyu	Copernicium
Katiguriya:Qhapaq katiguriya	Kategorie:!Hauptkategorie
Abruzzo	Abruzzen
Alpikuna	Alpen
Grenoble	Grenoble
Dortmund	Dortmund
Chicago	Chicago
The Beatles	The Beatles
Ununtriyu	Ununtrium
Ununkwadyu	Flerovium
Ununpentyu	Ununpentium
Ununheksiyu	Livermorium
Ununseptiyu	Ununseptium
Ununoktiyu	Ununoctium
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Chiri mit'a	Winter
Ch'iraw mit'a	Frühling
Ruphay mit'a	Sommer
Puquy mit'a	Herbst
Saddam Hussein	Saddam Hussein
Kastilla simi	Spanische Sprache
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Taki aranway	Oper
Philadelphia (Pennsylvania)	Philadelphia
Kolkata	Kalkutta
Chennai	Chennai
Dilhi	Delhi
Bangalore	Bangalore
Kunti Banla	Westbengalen
Awaq uru	Webspinnen
Pakcha	Spinnentiere
Sillwichaki	Gliederfüßer
Ruru	Frucht
Rantina qullqi	Geld
Virginia suyu	Virginia
West Virginia suyu	West Virginia
Wata uchu	Spanischer Pfeffer
Huron qucha	Huronsee
New York suyu	New York (Bundesstaat)
Seryu	Cer
Praseodimyu	Praseodym
Rhode Island suyu	Rhode Island
Neodimyu	Neodym
Palama	Insekten
Maryland suyu	Maryland
Delaware suyu	Delaware
Lenin	Wladimir Iljitsch Lenin
Iwrupyu	Europium
Ohio suyu	Ohio
Pennsylvania suyu	Pennsylvania
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Augustus	Augustus
Windows	Microsoft Windows
New Jersey suyu	New Jersey
Phinis simi	Finnische Sprache
Indiana suyu	Indiana
Antawa	Automobil
Juventus FC	Juventus Turin
Roger Federer	Roger Federer
Georgia suyu	Georgia
Zagreb	Zagreb
Texas suyu	Texas
Tamil Nadu	Tamil Nadu
Genova	Genua
North Carolina suyu	North Carolina
South Carolina suyu	South Carolina
Sicilia	Autonome Region Sizilien
Manila	Manila
Sardegna	Sardinien
Bordeaux	Bordeaux
Corazón Aquino	Corazon Aquino
Buenos Aires	Buenos Aires
Mishiku llaqta	Mexiko-Stadt
Tokyo	Präfektur Tokio
Chuqiyapu	La Paz
Barcelona	Barcelona
Chirimaway	Ananas
Mississippi suyu	Mississippi (Staat)
Fernão de Magalhães	Ferdinand Magellan
Mississippi mayu	Mississippi River
Mizoram	Mizoram
Pataqunya	Patagonien
Tennessee suyu	Tennessee
Richard Wagner	Richard Wagner
Astana	Astana
Musuq Mishiku suyu	New Mexico
Athina	Athen
Minnesota suyu	Minnesota
Bagdad	Bagdad
Karakas	Caracas
Wisconsin suyu	Wisconsin
Marcus Tullius Cicero	Marcus Tullius Cicero
AC Milan	AC Mailand
Iowa suyu	Iowa
Nebraska suyu	Nebraska
Watimala llaqta	Guatemala-Stadt
Kansas suyu	Kansas
La Habana	Havanna
Hindi simi	Hindi
Marathi simi	Marathi
Siyaru	Zigarette
Missouri suyu	Missouri
Louisiana suyu	Louisiana
Luigi Galvani	Luigi Galvani
Kentucky suyu	Kentucky
Arkansas suyu	Arkansas
Neil Armstrong	Neil Armstrong
Urdu simi	Urdu
Oklahoma suyu	Oklahoma
Danuwyu mayu	Donau
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	München
Makiyasiy	Volleyball
Innsbruck	Innsbruck
Wien	Wien
København	Kopenhagen
Stockholm	Stockholm
Helsinki	Helsinki
Baile Átha Cliath	Dublin
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Danzig
Frankfurt am Main	Frankfurt am Main
Wrocław	Breslau
Lanthanu	Lanthan
Prometyu	Promethium
Samaryu	Samarium
Kaliningrad	Kaliningrad
Gadolinyu	Gadolinium
Zinedine Zidane	Zinédine Zidane
Terbyu	Terbium
Laurent Blanc	Laurent Blanc
Luksimbur (llaqta)	Luxemburg (Stadt)
Disprosyu	Dysprosium
Vaduz	Vaduz
Dyuspa Simin Qillqa	Bibel
Holmyu	Holmium
San Marino (uma llaqta)	Stadt San Marino
Erbyu	Erbium
Phnom Penh	Phnom Penh
Thulyu	Thulium
Ho Chi Minh llaqta	Ho-Chi-Minh-Stadt
Iterbyu	Ytterbium
Lutesyu	Lutetium
Ha Nui	Hanoi
Chiqap Jesuspa Inlisyan	Wahre Jesus-Kirche
Inlish simi	Englische Sprache
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
T'aypik	Taipeh
Amerisyu	Americium
Kuriyu	Curium
Dong Hoi	Đồng Hới
Concepción (Chile)	Concepción (Chile)
Berkelyu	Berkelium
Kalifornyu	Californium
Bologna	Bologna
Einsteinyu	Einsteinium
Fermyu	Fermium
Cagliari	Cagliari
Mendelewyu	Mendelevium
Kiyiw	Kiew
Nobelyu	Nobelium
Catania	Catania
Ontario pruwinsya	Ontario
Lawrensyu	Lawrencium
Caserta	Caserta
Mathieu Debuchy	Mathieu Debuchy
Karim Benzema	Karim Benzema
Franck Ribéry	Franck Ribéry
Ottawa	Ottawa
Éric Abidal	Éric Abidal
Nicolas Anelka	Nicolas Anelka
Jérémy Toulalan	Jérémy Toulalan
Manitoba pruwinsya	Manitoba
Alberta pruwinsya	Alberta
Nova Scotia pruwinsya	Nova Scotia
Yerevan	Jerewan
Końskowola	Końskowola
Dar es Salaam	Daressalam
New Brunswick pruwinsya	New Brunswick
British Columbia pruwinsya	British Columbia
Prince Edward Island pruwinsya	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan pruwinsya	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Chimlasay	Kohlenstoffdioxid
2013	2013
2014	2014
2015	2015
Newfoundland wan Labrador pruwinsya	Neufundland und Labrador
2008	2008
2004	2004
2005	2005
2006	2006
Cesare Pavese	Cesare Pavese
2007	2007
Verona	Verona
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florenz
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	AC Florenz
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Saint John (Newfoundland wan Labrador)	St. John’s (Neufundland)
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Mikhuna	Lebensmittel
Edmonton	Edmonton
Mach'aqway	Schlangen
Jacques Chirac	Jacques Chirac
Arika Parinaqutapas suyu	Región de Arica y Parinacota
Tarapaka suyu	Región de Tarapacá
Antofagasta suyu	Región de Antofagasta
Atakama suyu	Región de Atacama
Kukimpu suyu	Región de Coquimbo
Regina (Saskatchewan)	Regina (Saskatchewan)
Valéry Giscard d'Estaing	Valéry Giscard d’Estaing
Charlottetown	Charlottetown
Santiago suyu	Región Metropolitana de Santiago
Victoria (British Columbia)	Victoria (British Columbia)
O'Higgins suyu	Región del Libertador General Bernardo O’Higgins
Winnipeg	Winnipeg
Fredericton	Fredericton
Halifax (Nova Scotia)	Halifax (Nova Scotia)
Quebec llaqta	Québec (Stadt)
1 ñiqin qhulla puquy killapi	1. Januar
2 ñiqin qhulla puquy killapi	2. Januar
1920	1920
3 ñiqin qhulla puquy killapi	3. Januar
1919	1919
1921	1921
1922	1922
Mawlli suyu	Región del Maule
4 ñiqin qhulla puquy killapi	4. Januar
1923	1923
Biyubiyu suyu	Región del Bío-Bío
1924	1924
Arawkaniya suyu	Región de la Araucanía
Mayukuna suyu	Región de Los Ríos
Quchakuna suyu	Región de los Lagos
