Африк	Afrika
Дарангуйлал	Diktatur
Галактик	Galaxie
Бархасбадь	Jupiter (Planet)
Тэнгэрийн заадас	Milchstraße
Их Тэсрэлт	Urknall
Тэнгэрийн ван	Uranus (Planet)
Англи Википедиа	Englischsprachige Wikipedia
Николя Саркози	Nicolas Sarkozy
Далайн ван	Neptun (Planet)
Одон орон	Astronomie
Сингапур	Singapur
Шинжлэх ухаан	Wissenschaft
Дэлхийн ван	Pluto
Лихтенштейн	Liechtenstein
Спорт	Sport
Адольф Гитлер	Adolf Hitler
Facebook	Facebook
Дэлхийн нэгдүгээр дайн	Erster Weltkrieg
Дэлхийн хоёрдугаар дайн	Zweiter Weltkrieg
Кёльн	Köln
Аугусто Пиночет	Augusto Pinochet
Үбүнтү	Ubuntu
Линукс	Linux
Боб Дилан	Bob Dylan
Математик	Mathematik
Латин хэл	Latein
Бахрейн	Bahrain
Армен	Armenien
Хигсийн босон (цөмийн физик)	Higgs-Boson
Серби	Serbien
Сар	Mond
Стамбул / Истанбул	Istanbul
Австрали	Australien
Физик	Physik
Аргентин	Argentinien
Перу	Peru
Биологи	Biologie
Умард Солонгос	Nordkorea
Камбож / Кампуч	Kambodscha
Үлэг гүрвэл	Dinosaurier
Ислам	Islam
Лийр	Birnen
Люблян	Ljubljana
Сальвадор Альенде	Salvador Allende
Ургамал судлал	Botanik
Европын Холбоо	Europäische Union
Пловдив	Plowdiw
Оддын дайн	Star Wars
Рона-Альп	Rhône-Alpes
Дэлхий дахины веб	World Wide Web
Эмэгтэй хүн	Frau
Софи	Sofia
Шүлэг	Poesie
Компьютерын вирус	Computervirus
Чернобылийн осол	Nuklearkatastrophe von Tschernobyl
Милан	Mailand
Артюр Рембо	Arthur Rimbaud
Турин	Turin
Нимбэг	Zitrone
Марианы хонхор	Marianengraben
Владимир Высоцкий	Wladimir Semjonowitsch Wyssozki
Жомолунгма	Mount Everest
Хот	Stadt
Наполеон I Бонапарт	Napoleon Bonaparte
Од	Stern
Нар	Sonne
Луи Пастер	Louis Pasteur
Гэрлийн жил	Lichtjahr
Виктор Гюго	Victor Hugo
Нарны аймаг	Sonnensystem
Балтын тэнгис	Ostsee
Висла мөрөн	Weichsel
Устөрөгч	Wasserstoff
Викимедиа Коммонс	Wikimedia Commons
Ангела Меркель	Angela Merkel
Ном	Buch
Хоног	Tag
Зүүн Тимор	Osttimor
Шөнө	Nacht
Жил	Jahr
Зуун	Jahrhundert
Лодзь	Łódź
Рейн мөрөн	Rhein
Осло	Oslo
Бонн	Bonn
Хар нүх	Schwarzes Loch
Луис Камоэнс	Luís de Camões
Гэй	Gay
Церера	(1) Ceres
Лиссабон	Lissabon
Хаумеа	(136108) Haumea
Макемаке	(136472) Makemake
Эрида	(136199) Eris
Дубай хот	Dubai
Лионель Месси	Lionel Messi
Николай Коперник	Nikolaus Kopernikus
Нүүрстөрөгч	Kohlenstoff
Алессандро Дель Пьеро	Alessandro Del Piero
Ижил	Wolga
Азот	Stickstoff
Хүчилтөрөгч	Sauerstoff
Интернационале	Inter Mailand
Гариг	Planet
VII Клеопатра	Kleopatra VII.
Хөгжим	Musik
Венец	Venedig
Нарүто	Naruto (Manga)
Нева мөрөн	Newa
Москва	Moskau
Фтор	Fluor
Итали хэл	Italienische Sprache
Санкт-Петербург	Sankt Petersburg
Натри	Natrium
Магни	Magnesium
Хөнгөн цагаан	Aluminium
Шинэ Зеланд	Neuseeland
Энэтхэг	Indien
Цахиур	Silicium
Тувалу	Tuvalu
Уан Пийс	One Piece
Фосфор (химийн элемент)	Phosphor
Андре Мари Ампер	André-Marie Ampère
Хүүрнэл зохиол	Prosa
Төмөр (химийн элемент)	Eisen
Тонга	Tonga
Хүхэр	Schwefel
Дорно	Osten
Вануату	Vanuatu
Мольер	Molière
Уильям Шекспир	William Shakespeare
Өмнө Холланд	Provinz Südholland
Палау	Palau
Аргон	Argon
Науру	Nauru
Умар Холланд	Provinz Nordholland
Микронезийн Холбооны Улс	Föderierte Staaten von Mikronesien
Лионы Олимпик	Olympique Lyon
Кальци	Calcium
Хар тугалга	Blei
Маршаллын арлууд	Marshallinseln
Кирибати	Kiribati
Монгол Улс	Mongolei
Фижи	Fidschi
Венесуэл	Venezuela
Шатар	Schach
Чингис хаан	Dschingis Khan
Мэн	Maine
Хром	Chrom
Адуу	Hauspferd
Амстердам	Amsterdam
Амьтан	Tier
Суринам	Suriname
Манган	Mangan
Парагвай	Paraguay
Гайана	Guyana
Урлаг	Kunst
Эквадор	Ecuador
Рени	Rhenium
Колумб	Kolumbien
Кобальт	Cobalt
Гүзээлзгэнэ	Erdbeeren
Буддын шашин	Buddhismus
Гронинген хот	Groningen
Боливи	Bolivien
Зэс	Kupfer
Тринидад ба Тобаго	Trinidad und Tobago
Ургамал	Pflanzen
Цайр	Zink
Нью-Хэмпшир	New Hampshire
Леонардо да Винчи	Leonardo da Vinci
Сент-Китс ба Невис	St. Kitts und Nevis
Ямайк	Jamaika
Гренад улс	Grenada
Массачусеттс	Massachusetts
Гватемал	Guatemala
Гелдерланд	Provinz Gelderland
Коннектикут	Connecticut
Хавай	Hawaii
Гондурас	Honduras
Умард мөсөн далай	Arktischer Ozean
Гаити	Haiti
Иран улс	Iran
Ирак	Irak
Аляска	Alaska
Коста-Рика	Costa Rica
Израиль	Israel
Утрехт хот	Utrecht
Панам	Panama
Йемен	Jemen
Вирус	Viren
Польш хэл	Polnische Sprache
Иордан	Jordanien
Никарагуа	Nicaragua
Флорида	Florida
Кыргызстан	Kirgisistan
Аризона	Arizona
Кувейт	Kuwait
Лаос	Laos
Ливан	Libanon
Орегон	Oregon
Мальдив	Malediven
Америк тив	Amerika
Юта	Utah
Малайз	Malaysia
Михаил Булгаков	Michail Afanassjewitsch Bulgakow
Мьянмар	Myanmar
Балба	Nepal
Оман	Oman
Пакистан	Pakistan
Катар	Katar
Теннис	Tennis
MySQL	MySQL
Саудын Араб	Saudi-Arabien
Шри-Ланка	Sri Lanka
Иосиф Сталин	Josef Stalin
Шугаман код	Strichcode
Сири	Syrien
Платон	Platon
Тажик улс	Tadschikistan
Бүгд Найрамдах Хятад Улс	Republik China (Taiwan)
Германи	Germanium
Аристотель	Aristoteles
Тайланд	Thailand
Галт тэрэг	Zug (Eisenbahn)
Радио	Hörfunk
Мерил Стрип	Meryl Streep
Туркменистан	Turkmenistan
Абакан	Abakan (Stadt)
Арабын Нэгдсэн Эмирт Улс	Vereinigte Arabische Emirate
Вьетнам	Vietnam
Чарльз Спенсер Чаплин	Charlie Chaplin
Новосибирск	Nowosibirsk
Өмнөд Солонгос	Südkorea
Екатеринбург	Jekaterinburg
Афганистан	Afghanistan
Доод Новгород	Nischni Nowgorod
Жон Толкин	J. R. R. Tolkien
Самар хот	Samara
Алт	Gold
Омск	Omsk
Суэцийн суваг	Sueskanal
Казань	Kasan
Бангладеш	Bangladesch
Блич	Bleach (Manga)
Франц Кафка	Franz Kafka
Челябинск	Tscheljabinsk
Донын Ростов	Rostow am Don
Уфа	Ufa (Stadt)
Мали	Mali
Сократ	Sokrates
Волгоград	Wolgograd
Ангол	Angola
Пермь	Perm (Stadt)
Бутан	Bhutan
Твиттер	Twitter
Красноярск	Krasnojarsk
Бруней	Brunei
Танзани	Tansania
Мөнгөн ус	Quecksilber
Филиппин	Philippinen
Өмнөд туйл	Südpol
Умард туйл	Nordpol
Исаак Ньютон	Isaac Newton
Альберт Эйнштейн	Albert Einstein
Иттри	Yttrium
Висмут	Bismut
Квант механик	Quantenmechanik
Дональд Туск	Donald Tusk
Тунис	Tunesien
Жон Бардин	John Bardeen
Замби	Sambia
Зимбабве	Simbabwe
Бээжин	Peking
Владивосток	Wladiwostok
Бүгд Найрамдах Тува Улс	Tuwa
Бенин	Benin
Ботсвана	Botswana
Бурунди	Burundi
Бүгд Найрамдах Конго Улс	Republik Kongo
Обь	Ob
Бүгд Найрамдах Ардчилсан Конго Улс	Demokratische Republik Kongo
Полони	Polonium
Бавар	Bayern
Баден-Вюртемберг	Baden-Württemberg
Эритрей	Eritrea
Шинэ Дели	Neu-Delhi
II Иоанн Павел	Johannes Paul II.
Нохойтой дөрвөн танкчин (цуврал кино)	Vier Panzersoldaten und ein Hund
Фёдор Достоевский	Fjodor Michailowitsch Dostojewski
Камчаткын хойг	Kamtschatka
Тбилис	Tiflis
Андрей Сахаров	Andrei Dmitrijewitsch Sacharow
Астат	Astat
Габон	Gabun
Махатма Ганди	Mohandas Karamchand Gandhi
Чукотын хойг	Tschuktschen-Halbinsel
Комикс	Comic
Гамби	Gambia
Гвиней	Guinea
Кот д'Ивуар	Elfenbeinküste
Камерун	Kamerun
Лесото	Lesotho
Ливи	Libyen
Ахен	Aachen
Мадагаскар	Madagaskar
Малави	Malawi
Штутгарт	Stuttgart
Мавритан	Mauretanien
Марокко	Marokko
Мозамбик	Mosambik
Намиби	Namibia
Нигер	Niger
Нигери	Nigeria
Чарльз Дарвин	Charles Darwin
Уганда	Uganda
Руанда	Ruanda
Циркони	Zirconium
Карлсруэ	Karlsruhe
Сенегал	Senegal
Карл Линней	Carl von Linné
Сьерра-Леоне	Sierra Leone
Сомали	Somalia
Жавахарлал Неру	Jawaharlal Nehru
Юлий Цезарь	Gaius Iulius Caesar
Судан	Sudan
Свазиланд	Swasiland
Солонго	Regenbogen
Молибден	Molybdän
Бодисын солилцоо	Stoffwechsel
Онтарио нуур	Ontariosee
Эволюци	Evolution
Нэгдсэн Үндэстний Байгууллага	Vereinte Nationen
Данте Алигери	Dante Alighieri
Геологи	Geologie
Ахмадабад	Ahmedabad
Газарзүй	Geographie
Зүрх	Herz
Тархи	Gehirn
Арьс	Haut
Өнгө	Farbe
Нэр үг	Substantiv
Прага	Prag
Роди	Rhodium
Мөнгө (химийн элемент)	Silber
Уран (химийн элемент)	Uran
Умар Брабант	Provinz Nordbrabant
Плутони	Plutonium
Анимэ	Anime
Цахилгаан цэнэг	Elektrische Ladung
Бари	Barium
Тори	Thorium
Актини	Actinium
Билл Клинтон	Bill Clinton
Индира Ганди	Indira Gandhi
Гектор Берлиоз	Hector Berlioz
Мумбай	Mumbai
Андра Прадеш	Andhra Pradesh
Бихар	Bihar
Мичиган	Michigan
Аквитан муж	Aquitanien
Жарканд	Jharkhand
Карнатака	Karnataka
Мадхья-Прадеш	Madhya Pradesh
Усэйн Болт	Usain Bolt
Лимузен	Limousin
Махараштра	Maharashtra
Мекленбург – Өрнө Померан	Mecklenburg-Vorpommern
Доор Саксон	Niedersachsen
Хессен	Hessen
Жон Леннон	John Lennon
Иллиной	Illinois
Саксон-Анхальт	Sachsen-Anhalt
Хойд Дакота	North Dakota
Бранденбург	Brandenburg
Бремен муж	Freie Hansestadt Bremen
Ломбард муж	Lombardei
Өмнөд Дакота	South Dakota
Вайоминг	Wyoming
Иерусалим	Jerusalem
Жиоржио Наполитано	Giorgio Napolitano
Айдахо	Idaho
Вашингтон Муж Улс	Washington (Staat)
Невада	Nevada
Энэтхэгийн далай	Indischer Ozean
Энрико Де Никола	Enrico De Nicola
Косово	Kosovo
Карибын тэнгис	Karibisches Meer
Хасси	Hassium
Кофи Аннан	Kofi Annan
Колорадо	Colorado
У Тант	U Thant
Колорадо мөрөн	Colorado River
Даг Хаммаршёлд	Dag Hammarskjöld
Фредерик Шопен	Frédéric Chopin
Леонард Коэн	Leonard Cohen
Ангилал:Тулгуур	Kategorie:!Hauptkategorie
Лацио муж	Latium
Альпийн нуруу	Alpen
Блез Паскаль	Blaise Pascal
Зуун буудалт даам	Dame (Spiel)
Дортмунд	Dortmund
Гент	Gent
Чикаго	Chicago
The Beatles	The Beatles
Маастрихт	Maastricht
Арнем	Arnhem
Өвөл	Winter
Зун	Sommer
Осама бен Ладен	Osama bin Laden
Испани хэл	Spanische Sprache
Фридрих Хаек	Friedrich August von Hayek
Иоганн Себастьян Бах	Johann Sebastian Bach
Антонио Вивальди	Antonio Vivaldi
Тольятти	Toljatti
Дуурь	Oper
Филадельфия	Philadelphia
Калькутта	Kalkutta
Ченнай	Chennai
Дели	Delhi
Дакка	Dhaka
Үет хөлтөн	Gliederfüßer
Исламабад	Islamabad
Трипура	Tripura
Жимс	Frucht
Мөнгө	Geld
Виржини	Virginia
Баруун Виржини	West Virginia
Нью-Йорк Муж Улс	New York (Bundesstaat)
Рөүд-Айленд	Rhode Island
Шавьж	Insekten
Мэрилэнд	Maryland
Делавар	Delaware
Владимир Ильич Ленин	Wladimir Iljitsch Lenin
Охайо	Ohio
Вергилий	Vergil
Пеннсилвани	Pennsylvania
Итерзен	Uetersen
Август Цезарь	Augustus
Windows	Microsoft Windows
Тибериус	Tiberius
Калигула	Caligula
Гибралтар	Gibraltar
Клавдий	Claudius
Индиана муж	Indiana
Автомашин	Automobil
Ювентус	Juventus Turin
Траян	Trajan
Рожер Федерер	Roger Federer
Жоржиа	Georgia
Антонини Пи	Antoninus Pius
Марк Аврелий	Mark Aurel
Загреб	Zagreb
Техас	Texas
Каракалла	Caracalla
Генуя	Genua
Зүлэгний хоккей	Hockey
Дэлдэн зараа	Eigentlicher Langohrigel
Манила (Манил)	Manila
Себу	Cebu City
Давао	Davao City
Кесон	Quezon City
Калоокан	Caloocan City
Корасон Акино	Corazon Aquino
Буэнос-Айрес	Buenos Aires
Мехико	Mexiko-Stadt
Токио	Präfektur Tokio
Барселон	Barcelona
Хан боргоцой	Ananas
Миссиссиппи	Mississippi (Staat)
Фернан Магеллан	Ferdinand Magellan
Миссисипи мөрөн	Mississippi River
Уттар Прадеш	Uttar Pradesh
Теннесси	Tennessee
Рихард Вагнер	Richard Wagner
Абижан хот	Abidjan
Абу-Даби хот	Abu Dhabi
Астана	Astana
Нью-Мексико	New Mexico
Афин	Athen
Миннесота	Minnesota
Багдад	Bagdad
Каракас	Caracas
Висконсин	Wisconsin
Милан (хөлбөмбөгийн баг)	AC Mailand
Айова	Iowa
Небраска	Nebraska
Канзас	Kansas
Гавана	Havanna
Хинди хэл	Hindi
Янжуур	Zigarette
Миссури	Missouri
Георг Ом	Georg Simon Ohm
Луйзиана	Louisiana
Кентакки	Kentucky
Арканзас	Arkansas
Нил Армстронг	Neil Armstrong
Урдү хэл	Urdu
Чарльз Линдберг	Charles Lindbergh
Замбоанга	Zamboanga City
Антиполо	Antipolo
Тагиг	Taguig City
Оклахома	Oklahoma
Иохан Блэйк	Yohan Blake
Жастин Гэтлин	Justin Gatlin
Дунай мөрөн	Donau
Уоррен Вейр	Warren Weir
Кирани Жеймс	Kirani James
Лугелин Сантос	Luguelín Santos
Найжел Амос	Nijel Amos
Тауфик Махлуфи	Taoufik Makhloufi
Мо Фарах	Mo Farah
Эзекиль Кембой	Ezekiel Kemboi
Жейсон Ричардсон	Jason Richardson (Basketballspieler)
Хойд тэнгис	Nordsee
Москва муж	Oblast Moskau
Неста Картер	Nesta Carter
Стивен Кипротич	Stephen Kiprotich
Подстам	Potsdam
Ишлэл	Quellenangabe
Ханновер	Hannover
Висбаден	Wiesbaden
Мюнхен	München
Жаред Таллент	Jared Tallent
Дрезден	Dresden
Волейбол	Volleyball
Инсбрук	Innsbruck
Мутаз Эсса Баршим	Mutaz Essa Barshim
Вена	Wien
Рено Лавиллени	Renaud Lavillenie
Бьёрн Отто	Björn Otto
Мадонна (дуучин)	Madonna (Künstlerin)
Копенхаген	Kopenhagen
Калининград муж	Oblast Kaliningrad
Уилл Клэй	Will Claye
Стокгольм	Stockholm
Давид Шторль	David Storl
Мурманск муж	Oblast Murmansk
Дублин	Dublin
Рига	Riga
Герд Кантер	Gerd Kanter
Кристиан Парш	Krisztián Pars
Братислав	Bratislava
Будапешт	Budapest
Эштон Итон	Ashton Eaton
Майн дахь Франкфурт	Frankfurt am Main
Вроцлав	Breslau
Одон орны нэгж	Astronomische Einheit
Аче	Aceh
Калининград	Kaliningrad
Зинедин Зидан	Zinédine Zidane
Католик	Katholizismus
Люксембург (хот)	Luxemburg (Stadt)
Вадуц	Vaduz
Библи	Bibel
Пномпень	Phnom Penh
Архангельск	Archangelsk
Хо Ши Мин хот	Ho-Chi-Minh-Stadt
Иттерби	Ytterbium
Ханой	Hanoi
Есүс Христийн Жинхэнэ Сүм	Wahre Jesus-Kirche
Англи хэл	Englische Sprache
Бангкок	Bangkok
Андорра-ла-Велья	Andorra la Vella
Куала Лумпур	Kuala Lumpur
Тайбэй	Taipeh
Америци	Americium
Одесс	Odessa
Архангельск муж	Oblast Archangelsk
Донгхой	Đồng Hới
Консепшон	Concepción (Chile)
Беркли	Berkelium
Мемфис Депай	Memphis Depay
Петрозаводск	Petrosawodsk
Кальяри	Cagliari
Киев	Kiew
Онтарио	Ontario
Уго Льорис	Hugo Lloris
Матьё Дебюши	Mathieu Debuchy
Адиль Рами	Adil Rami
Йоан Кабай	Yohan Cabaye
Оливье Жиру	Olivier Giroud
Карим Бензема	Karim Benzema
Флоран Малуда	Florent Malouda
Бүгд Найрамдах Карель Улс	Republik Karelien
Лоран Косельни	Laurent Koscielny
Патрис Эвра	Patrice Evra
Филипп Мексес	Philippe Mexès
Фрэнк Рибери	Franck Ribéry
Матьё Вальбуэна	Mathieu Valbuena
Самир Насри	Samir Nasri
Блез Матюиди	Blaise Matuidi
Антони Ревейер	Anthony Réveillère
Жереми Менез	Jérémy Ménez
Стив Манданда	Steve Mandanda
Хатем Бен Арфа	Hatem Ben Arfa
Гаэль Клиши	Gaël Clichy
Оттава	Ottawa
Эрик Абидаль	Éric Abidal
Жибриль Сиссе	Djibril Cissé
Вильям Галлас	William Gallas
Бакари Санья	Bacary Sagna
Андре-Пьер Жиньяк	André-Pierre Gignac
Себастьен Скиллачи	Sébastien Squillaci
Абу Диаби	Abou Diaby
Жереми Тулалан	Jérémy Toulalan
Жуба	Juba (Stadt)
Манитоба	Manitoba
Альберта	Alberta
Нова Скоша	Nova Scotia
Ереван	Jerewan
Вологда	Wologda
Фрэни Шнайдер	Vreni Schneider
Консковол (хот)	Końskowola
Нью-Брансвик	New Brunswick
Бритиш Коламбиа	British Columbia
Принс Эдвардын Арал	Prince Edward Island
2000 он	2000
2003 он	2003
2002 он	2002
2001 он	2001
Саскачеван	Saskatchewan
2012 он	2012
Кишимото Масаши	Masashi Kishimoto
2011 он	2011
2010 он	2010
2009 он	2009
2013 он	2013
2014 он	2014
2015 он	2015
Ньюфаундленд ба Лабрадор	Neufundland und Labrador
2008 он	2008
JavaScript	JavaScript
Баруун Хойд Нутаг Дэвсгэр	Nordwest-Territorien
Юкон	Yukon (Territorium)
2004 он	2004
2005 он	2005
2006 он	2006
Нунавут	Nunavut
2007 он	2007
1900 он	1900
1901 он	1901
Шарль де Голль	Charles de Gaulle
1902 он	1902
Флоренц	Florenz
1903 он	1903
1904 он	1904
1905 он	1905
1907 он	1907
1906 он	1906
Жамби	Jambi (Provinz)
Фиорентина	AC Florenz
1908 он	1908
1909 он	1909
1992 он	1992
1991 он	1991
1990 он	1990
1993 он	1993
Эссен	Essen
1994 он	1994
1995 он	1995
1996 он	1996
Дэвид Линч	David Lynch
Коми	Republik Komi
1910 он	1910
1911 он	1911
1912 он	1912
Лайпциг	Leipzig
1913 он	1913
1914 он	1914
1915 он	1915
1916 он	1916
1997 он	1997
1998 он	1998
Нюрнберг	Nürnberg
1999 он	1999
1917 он	1917
1918 он	1918
Хоол	Lebensmittel
Дуйсбург	Duisburg
Бохум	Bochum
Вупперталь	Wuppertal
Лампун	Lampung (Provinz)
Гэрлийн хурд	Lichtgeschwindigkeit
Билефельд	Bielefeld
XML	Extensible Markup Language
Манхайм	Mannheim
Боде Миллер	Bode Miller
Умар Суматра	Sumatera Utara
1 сарын 1	1. Januar
1 сарын 2	2. Januar
1920 он	1920
1 сарын 3	3. Januar
1919 он	1919
1921 он	1921
1922 он	1922
Лөнд	Lund
1 сарын 4	4. Januar
1923 он	1923
Лэнс Армстронг	Lance Armstrong
1924 он	1924
Риау	Riau
Ленинград муж	Oblast Leningrad
1 сарын 5	5. Januar
Мальмё	Malmö
1 сарын 6	6. Januar
Риау арлуудын муж	Kepulauan Riau
Электрон	Elektron
1 сарын 7	7. Januar
1 сарын 8	8. Januar
1 сарын 9	9. Januar
1 сарын 10	10. Januar
Нижегород муж	Oblast Nischni Nowgorod
1 сарын 11	11. Januar
1 сарын 12	12. Januar
Колумб мөрөн	Columbia River
Африкийн Сципион	Publius Cornelius Scipio Africanus
1 сарын 13	13. Januar
Бирмингем	Birmingham
1 сарын 14	14. Januar
1 сарын 15	15. Januar
1 сарын 16	16. Januar
Том Хэнкс	Tom Hanks
1 сарын 17	17. Januar
1 сарын 18	18. Januar
1 сарын 19	19. Januar
1 сарын 20	20. Januar
Аж үйлдвэрийн хувьсгал	Industrielle Revolution
Өмнө Суматра	Sumatera Selatan
1 сарын 21	21. Januar
1 сарын 22	22. Januar
1 сарын 23	23. Januar
Ромын эзэнт гүрэн	Römische Kaiserzeit
1 сарын 24	24. Januar
1 сарын 25	25. Januar
Минск	Minsk
1 сарын 26	26. Januar
Microsoft	Microsoft
1 сарын 27	27. Januar
1 сарын 28	28. Januar
1 сарын 29	29. Januar
1 сарын 30	30. Januar
1 сарын 31	31. Januar
Тверь муж	Oblast Twer
Протон	Proton
12 сарын 2	2. Dezember
12 сарын 1	1. Dezember
12 сарын 3	3. Dezember
12 сарын 7	7. Dezember
12 сарын 5	5. Dezember
12 сарын 8	8. Dezember
12 сарын 10	10. Dezember
12 сарын 6	6. Dezember
12 сарын 9	9. Dezember
Пинк Флойд	Pink Floyd
12 сарын 4	4. Dezember
2 сарын 1	1. Februar
2 сарын 2	2. Februar
2 сарын 3	3. Februar
Куров	Kurów
2 сарын 4	4. Februar
2 сарын 5	5. Februar
2 сарын 6	6. Februar
2 сарын 7	7. Februar
2 сарын 8	8. Februar
2 сарын 9	9. Februar
2 сарын 10	10. Februar
Хими	Chemie
2 сарын 14	14. Februar
2 сарын 13	13. Februar
2 сарын 15	15. Februar
2 сарын 11	11. Februar
2 сарын 12	12. Februar
Робин ван Перси	Robin van Persie
2 сарын 19	19. Februar
2 сарын 17	17. Februar
2 сарын 16	16. Februar
2 сарын 18	18. Februar
2 сарын 20	20. Februar
Нейтрон	Neutron
2 сарын 21	21. Februar
2 сарын 22	22. Februar
2 сарын 23	23. Februar
2 сарын 24	24. Februar
2 сарын 25	25. Februar
2 сарын 26	26. Februar
2 сарын 27	27. Februar
2 сарын 28	28. Februar
12 сарын 11	11. Dezember
2 сарын 29	29. Februar
12 сарын 12	12. Dezember
12 сарын 13	13. Dezember
12 сарын 14	14. Dezember
12 сарын 15	15. Dezember
3 сарын 2	2. März
3 сарын 3	3. März
3 сарын 5	5. März
3 сарын 1	1. März
3 сарын 7	7. März
3 сарын 8	8. März
3 сарын 4	4. März
3 сарын 10	10. März
3 сарын 11	11. März
3 сарын 6	6. März
3 сарын 13	13. März
3 сарын 9	9. März
