非洲	Afrika
Pok-tshṳ-ngá-na̍p	Botswana
Pho (釙)	Polonium
Bayern	Bayern
Baden-Württemberg	Baden-Württemberg
Ngo (砈)	Astat
Lòi-sò-thok	Lesotho
Mâ-tha̍t-kâ-sṳ̂-kâ	Madagaskar
Mâ-là-vî	Malawi
Stuttgart	Stuttgart
Màu-li-thap-nì-â	Mauretanien
Pô-làn-ngìn	Polen (Ethnie)
Mo̍k-sông-pí-khiet	Mosambik
Na̍p-mí-pí-â	Namibia
Nai-khi̍p-li-â	Nigeria
Ko	Zirconium
Nì	Niob
Yû-li-vû-sṳ̂ Khái-sat	Gaius Iulius Caesar
Sṳ̂-vî-sṳ-làn	Swasiland
Muk	Molybdän
Thap	Technetium
Hamburg	Hamburg
Thoi-chhia	Stoffwechsel
Miên-yi̍t Hì-thúng	Immunsystem
Lièn-ha̍p-koet	Vereinte Nationen
Sîm-chhong	Herz
Thèu-nó	Gehirn
Phì-fû	Haut
Ló	Rhodium
Làm-set	Blau
Pâ	Palladium
Ngiùn	Silber
Kak	Cadmium
Yîn	Indium
Siak	Zinn
Yu	Uran
Thi (銻)	Antimon
Ti	Tellur
Pu	Plutonium
Tièn	Iod
Nai	Neptunium
Set	Caesium
Phù	Protactinium
Pi	Barium
Thú	Thorium
Kap (鉿)	Hafnium
Than (鉭)	Tantal
Luì	Radium
Tûng	Radon
Alsace	Elsass
Auvergne	Auvergne
Ôn-tet-là-pâng	Andhra Pradesh
Me̍t-hiet-kîn	Michigan
Burgundy	Burgund
Aquitaine	Aquitanien
Schleswig-Holstein	Schleswig-Holstein
Hâ Saxony	Niedersachsen
Pet Rhine-Westphalia	Nordrhein-Westfalen
Saxony	Sachsen
Yî-li-nò	Illinois
Thuringia	Thüringen
Saxony-Anhalt	Sachsen-Anhalt
Pet Tha̍t-khô-thâ	North Dakota
Brandenburg	Brandenburg
Bremen-chû	Freie Hansestadt Bremen
Nàm Tha̍t-khô-thâ	South Dakota
Mùng-thai-nâ	Montana
Fài-ngò-mìn	Wyoming
Yâ-lu-sat-lâng	Jerusalem
Oi-tha̍t-hòt	Idaho
Fà-sṳn-tun	Washington (Staat)
Lù (鑪)	Rutherfordium
Nui-fà-tha̍t	Nevada
