ܐܦܪܝܩܐ	Afrika
ܟܗܪܒܐ	Elektrizität
ܡܙܝܥܢܐ ܕܩܝܕܐ ܓܘܝܐ	Verbrennungskraftmaschine
ܣܝܦܐ (ܙܝܢܐ)	Schwert
ܫܡܥܘܢ ܩܢܢܝܐ	Simon Zelotes
ܩܪܩܦܬܐ	Schädel
ܓܘܡܠܐ!	Joomla
ܐܦܫܬܐ	Rosine
ܠܫܢܐ ܕܗܣܝܐܢܓ	Xiang (Sprache)
ܠܫܢܐ ܥܪܒܝܐ	Arabische Sprache
ܠܫܢܐ ܐܦܪܝܩܐܢܝܐ	Afrikaans
Β	Beta
Γ	Gamma
Δ	Delta
Ε	Epsilon
Ζ	Zeta
Η	Eta
Θ	Theta
Ι	Iota
Κ	Kappa
Ν	Ny
Ξ	Xi
Ο	Omikron
Ρ	Rho
Σ	Sigma
Τ	Tau (Buchstabe)
Υ	Ypsilon
Χ	Chi
Ψ	Psi (Buchstabe)
ܐܬܐ	Flagge
ܟܪܦܬܐ	Möbel
ܟܘܪܣܝܐ	Stuhl (Möbel)
ܣܦܬܐ	Lippe
ܦܣܡܐ	Schnurrbart
ܥܩܠܐ	Fuß
1000000000 (ܡܢܝܢܐ)	Milliarde
ܓܪܡܐ ܕܨܕܥܐ	Schläfenbein
ܩܠܝܕܐ (ܓܪܡܐ)	Schlüsselbein
ܟܬܦܐ	Schulter
ܦܟܐ ܬܚܬܝܐ	Unterkiefer
ܥܠܡܐ (ܐܪܥܐ)	Welt
ܘܝܩܝܦܕܝܐ:ܬܪܥܐ ܕܟܢܫܐ	Wikipedia:Projektdiskussion
ܒܝܪܡܘܢܬ	Vermont
ܩܘܣܛܢܛܝܢܘܦܘܠܝܣ	Konstantinopel
ܒܝܬ ܟܪܝܗܐ	Krankenhaus
ܥܕܬܐ	Kirche (Bauwerk)
ܕܝܬܝܩܝ ܚܕܬܐ	Neues Testament
9 (ܡܢܝܢܐ)	Neun
1002	1002
ܦܘܕܘܠܣܟ	Podolsk
ܦܐܦܐ	Papst
5	5
4	4
ܢܝܒܐ	Eckzahn
3	3
2	2
ܒܝܬ ܥܬܩܐ ܕܠܘܒܪ	Louvre
ܓܒܐ ܕܚܐܪܘܬܐ ܕܦܘܐܪܛܘ ܪܝܩܘ	Partido Independentista Puertorriqueño
6	6
ܕܝܬܝܩܝ ܥܬܝܩܬܐ	Altes Testament
ܥܐܕܐ ܕܒܝܬ ܝܠܕܐ	Weihnachten
ܠܫܢܐ ܪܘܡܐܢܣܝܐ	Romanische Sprachen
ܡܬܠܬܐ	Dreieck
ܫܢܬܐ ܟܒܝܫܬܐ	Schaltjahr
ܡܘܥܡܪ ܐܠܩܕܐܦܝ	Muammar al-Gaddafi
ب	Ba (Arabischer Buchstabe)
ܥܐܕܐ ܕܩܝܡܬܐ	Ostern
ܢܝܘ ܝܘܪܩ	New York
ܢܦܛܐ	Erdöl
ܣܐܘܢܐ	Schuh
ܒܝܬ ܥܘܪܦܢܐ	Bank
ܟܪܡܐ	Weinberg
ܐܝܪܠܢܕ (ܓܙܪܬܐ)	Irland (Insel)
1	1
ܠܘ ܫܘܢ	Lu Xun
10	10
20	20
9	9
7	7
8	8
7 (ܡܢܝܢܐ)	Sieben
8 (ܡܢܝܢܐ)	Acht
12	12
ܡܠܐܐ ܘܬܘܒܐ	Gezeiten
ܫܒܘܥܐ	Woche
ܓܠܝܕܐ	Eis
ܨܠܘܬܐ ܡܪܢܝܬܐ	Vaterunser
ܝܡܬܐ	See
ܝܡܐ ܣܘܡܩܐ	Rotes Meer
13	13
ܩܛܘܬܐ (ܝܥܝܬܐ)	Gurke
ܓܙܪܬܐ	Insel
ܚܘܪܐ	Weiß
ܐܘܟܡܐ	Schwarz
6 (ܡܢܝܢܐ)	Sechs
ܠܫܢܐ ܪܘܫܡܝܐ	Amtssprache
11	11
15	15
14	14
17	17
ܣܦܪ ܡܠܐ	Wörterbuch
18	18
19	19
16	16
21	21
ܦܠܣܛܝܢ	Palästina (Region)
10 (ܡܢܝܢܐ)	Zehn
ܡܣܘܪܩܐ (ܡܐܢܐ)	Kamm
ܠܝܠܐ ܕܘܢܤ	Lila Downs
ܝܡܐ ܕܡܠܚܐ	Totes Meer
ܫܘܚܠܦܐ ܕܫܢܬܐ	Jahreszeit
ܠܝܒܪܦܘܠ	Liverpool
ܩܘܦܬܐ (ܛܝܪܐ)	Eulen
ܫܥܬܐ	Stunde
ܢܐܘܝ ܕܘܪ ܟܪܘܠܣܟܝ	Nowy Dwór Królewski
ܐܪܙܦܬܐ	Hammer
ܝܘܢܫܘܦܝܢ	Jönköping
ܥܘܠܐ ܚܝܐ	Fötus
ܐܠܦܒܝܬ ܣܘܪܝܝܐ	Syrisches Alphabet
ܐܠܦܒܝܬ ܐܪܡܝܐ	Aramäische Schrift
ܙܡܪܐ	Gesang
ܫܓܠܐ	Hickelkasten
ܩܠܦܬܐ ܕܒܣܡܐ	Zimt
ܡܙܬܐ	Haar
ܠܫܢܐ ܐܪܡܝܐ	Aramäische Sprachen
ܨܦܪܐ (ܛܝܪܐ)	Sperlinge
ܐܦܣܩܘܦܐ	Bischof
ܨܝܢ (ܐܪܥܐ)	China
ܓܒܐ ܕܝܡܘܩܪܛܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Demokratische Partei (Vereinigte Staaten)
ܒܝܐܛܪܝܟܣ ܕܒܝܬ ܗܘܠܢܕܝܐ	Beatrix (Niederlande)
ܡܠܟܘܬܐ ܕܗܘܠܢܕܐ	Königreich der Niederlande
ܐܒܪܝܠ ܠܐܒܝܢ	Avril Lavigne
ܐܪܒܝܐ	Arabische Halbinsel
ܡܪܩܘܣ ܐܘܢܓܠܣܛܐ	Markus (Evangelist)
ܥܘܠܐ	Embryo
ܠܫܢܐ ܕܗܟܐ	Hakka (Sprache)
ܫܘܫܡܢܝܬܐ (ܝܥܝܬܐ)	Grüner Kardamom
ܠܫܢܐ ܕܓܐܢ	Gan (Sprache)
ܒܝܬ ܥܬܩܐ	Museum
ܐܠܦܒܝܬ ܥܒܪܝܐ	Hebräisches Alphabet
ܠܫܢܐ ܣܘܪܝܝܐ	Syrische Sprache
ܒܪܩܐ	Blitz
ܐܝܕܐ	Hand
ܫܡܥܘܢ ܟܐܦܐ	Simon Petrus
ܬܠ ܐܒܝܒ	Tel Aviv-Jaffa
ܒܐܠܦܐܪܐܝܣܘ	Valparaíso
ܛܘܪܝܐ	Turoyo
ܠܫܢܐ ܫܝܡܝܐ	Semitische Sprachen
ܚܘܣܢܝ ܡܘܒܐܪܟ	Husni Mubarak
ܘܐܟܐܩܐ	Oaxaca
ܚܐܘܬܐ	Butter
ܐܘܢܓܠܝܘܢ	Evangelium (Buch)
ܠܫܢܐ ܕܘܘ	Wu (Sprache)
ܪܘܛܪܕܐܡ	Rotterdam
ܩܪܛܐ	Kreta
ܐܘܪܚܐ	Fernstraße
ܩܘܪܨܐ ܚܠܝܨܐ	Compact Disc
ܦܪܬ	Euphrat
ܩܝܘܛܘ	Kyōto
ܥܣܪܐ ܦܘܩܕܢܐ	Zehn Gebote
ܒܪܩܩܐ ܦܪܣܝܐ	Persischer Golf
ܚܠܐ (ܕܚܝܚܐ)	Sand
ܘܪܕܐ	Rosen
ܓܙܪܬܐ ܝܒܫܢܝܬܐ	Halbinsel
ܐܘܪܝܬܐ	Tora
ܟܘܘܝܬ (ܡܕܝܢܬܐ)	Kuwait-Stadt
ܡܚܙܝܬܐ	Spiegel
ܥܡܐ ܥܪܒܝܐ	Araber
ܟܘܬܐ	Fenster
ܠܫܢܐ ܝܘܢܝܐ ܥܬܝܩܐ	Altgriechische Sprache
ܠܫܢܐ ܐܟܕܝܐ	Akkadische Sprache
ܕܩܠܬ	Tigris
ܐܬܪܘܬܐ ܕܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Bundesstaat der Vereinigten Staaten
ܡܥܡܘܕܝܬܐ	Taufe
ܩܘܢܓܘ	Congo
ܐܝܢܛܪܠܝܢܓܘܐ	Interlingua
ܐܘܪܟܐ	Länge (Physik)
ܚܠܡܐ	Traum
ܠܫܢܐ ܩܪܕܘܝܐ	Kurdische Sprachen
ܩܡܚܐ	Mehl
ܕܢ ܗܐܟ	Den Haag
ܠܫܢܐ ܦܘܢܝܩܝܐ	Phönizisch-punische Sprache
ܣܝܢܝ (ܓܙܪܬܐ ܝܒܫܢܝܬܐ)	Sinai-Halbinsel
ܟܪܘܙܘܬܐ ܕܝܘܚܢܢ	Evangelium nach Johannes
ܬܪܥܐ (ܒܒܐ)	Tür
ܪܝܗܐܢܐ	Rihanna
ܛܦܪܐ	Nagel (Anatomie)
ܐܦܐ	Gesicht
ܨܨܐ (ܨܢܥܬܐ)	Nagel
ܙܝܬܐ	Olivenbaum
ܬܠܝܬܝܘܬܐ	Dreifaltigkeit
ܓܠܠܐ	Welle
ܟܬܒܬܐ	Schreiben
ܪܘܚܐ ܕܩܘܕܫܐ	Heiliger Geist
100 (ܡܢܝܢܐ)	Hundert
ܒܘܪܟܐ	Kniegelenk
ܫܘܩܐ (ܬܐܓܪܘܬܐ)	Markt
ܠܫܢܐ ܥܪܒܝܐ ܝܗܘܕܝܐ	Judäo-Arabisch
ܒܠܛܝ	Bălți
1000000 (ܡܢܝܢܐ)	Million
ܛܐܒܐ	Nachrichten
ܐܫܬܐ (ܐܣܝܘܬܐ)	Fieber
ܩܫܬܐ ܓܪܒܝܝܬܐ ܕܐܪܥܐ	Nordhalbkugel
ܡܡܘܢܐ ܕܡܝܟܪܐ	Mikroökonomie
ܠܝܕܣ	Leeds
ܥܘܩܒܪܐ	Mäuse
ܦܘܪܬܩܠܐ	Orange (Farbe)
ܒܪܩܩܐ	Bucht
ܒܝܬ ܩܒܘܪܐ	Friedhof
ܐܣܝܐ (ܫܕܬܐ)	Arzt
ܡܩܕܘܢܝܐ	Mazedonien (Begriffsklärung)
ܦܢܛܝܩܘܣܛܝ	Pfingsten
ܫܓܕܬܐ	Mandelbaum
ܟܪܘܙܘܬܐ ܕܠܘܩܐ	Evangelium nach Lukas
ܩܘܢܣܦܣܝܘܢ (ܗܘܦܪܟܝܐ)	Provinz Concepción (Chile)
ܢܗܪܐ ܕܝܘܪܕܢܢ	Jordan
ܣܦܪ ܝܡܐ	Strand
ܐܢܛܐܠܝܐ (ܗܘܦܪܟܝܐ)	Antalya (Provinz)
ܦܪܟܣܝܣ ܕܫܠܝܚܐ	Apostelgeschichte des Lukas
ܥܪܘܒܬܐ ܕܚܫܐ	Karfreitag
ܚܒܘܫܝܐ	Gefängnis
ܐܕܢܐ (ܗܘܦܪܟܝܐ)	Adana (Provinz)
ܝܘܚܢܢ ܡܥܡܕܢܐ	Johannes der Täufer
ܨܠܝܒܐ	Kreuz (Symbol)
ܚܙܒܐܠܠܗ	Hisbollah
ܒܝܬ ܓܒܝܢܐ	Stirn
ܡܙܡܘܪܐ	Buch der Psalmen
ܐܬܘܪ	Assyrien
ܒܢܝܢܐ	Gebäude
ܚܠܒ (ܡܕܝܢܬܐ)	Aleppo
ܩܫܬܐ ܬܝܡܢܝܬܐ ܕܐܪܥܐ	Südhalbkugel
ܚܠܐ (ܚܡܪܐ)	Essig
ܒܝܬ ܕܝܢܐ	Gericht
ܚܝܦܐ	Haifa
ܫܛܪܐ ܬܐܒܝܠܝܐ ܕܓܝܢܝܣ	Guinness-Buch der Rekorde
ܟܘܕܢܝܐ	Maultier
ܒܪܩܩܐ ܕܥܕܢ	Golf von Aden
ܓܠܝܢܐ ܕܝܘܚܢܢ	Offenbarung des Johannes
ܐܫܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Gesäß
ܨܠܘܬܐ ܡܪܝܡܝܬܐ	Ave Maria
ܝܩܕܐ	Brennstoff
ܝܨܝܠܐ	Ellbogengelenk
ܟܗܢܐ	Priester
ܕܩܢܐ	Barthaar
ܢܒܝܐ	Prophetie
ܐܘܪܟܝܣܛܪܐ	Orchester
1000 (ܡܢܝܢܐ)	Tausend
ܣܘܦܝܐ ܪܘܛܐܪܘ	Sofija Rotaru
ܬܫܢܝܬܐ	Versicherung (Kollektiv)
ܛܘܟܣܐ	Organisation
ܣܦܪܓܠܐ	Quitte
ܐܢܕܪܐܘܣ ܫܠܝܚܐ	Andreas (Apostel)
ܬܪܥܣܪ ܫܠܝܚܐ	Apostel
ܢܩܒܬܐ	Weibliches Geschlecht
ܕܪܥܐ (ܗܕܡܐ)	Arm
ܡܬܝ ܡܟܣܐ	Matthäus (Evangelist)
ܬܐܘܡܐ ܫܠܝܚܐ	Thomas (Apostel)
ܦܝܠܝܦܘܣ ܫܠܝܚܐ	Philippus
ܒܘܪܨܐ (ܗܘܦܪܟܝܐ)	Bursa (Provinz)
ܐܝܘܐܢܢܝܣ ܦܘܡܐ ܕܕܗܒܐ	Johannes Chrysostomos
ܒܢܝܡܝܢ ܢܬܢܝܗܘ	Benjamin Netanjahu
ܐܪܬܒܝܢ (ܗܘܦܪܟܝܐ)	Artvin (Provinz)
ܓܒܝܢܐ	Augenbraue
ܫܘܪܬܐ	Bauchnabel
ܐܕܝܐܡܐܢ (ܗܘܦܪܟܝܐ)	Adıyaman (Provinz)
ܝܗܘܕܐ ܫܠܝܚܐ	Judas Thaddäus
ܒܪܬܘܠܡܝ ܫܠܝܚܐ	Bartholomäus (Apostel)
ܝܥܩܘܒ ܒܪ ܙܒܕܝ	Jakobus der Ältere
ܝܘܚܢܢ ܫܠܝܚܐ	Johannes (Apostel)
ܡܬܝܐ ܫܠܝܚܐ	Matthias (Apostel)
ܝܥܩܘܒ ܒܪ ܚܠܦܝ	Jakobus, Sohn des Alphäus
ܕܟܪܐ	Männliches Geschlecht
ܐܝܓܢܐܛܝܘܣ ܢܘܪܢܐ	Ignatius von Antiochien
ܪܕܝܘܗܕ	Radiohead
ܒܫܐܪ ܐܠܐܣܕ	Baschar al-Assad
ܪܚܝܐ	Mühle
ܨܘܡܐ	Fasten
ܕܝܪܐ	Kloster
ܠܡܐܢܐ	Hafen
ܡܠܚܐ (ܢܘܛܐ)	Seemann
ܐܦܝܘܢ (ܗܘܦܪܟܝܐ)	Afyonkarahisar (Provinz)
ܡܝܟܐܝܠ (ܡܠܐܟܐ)	Michael (Erzengel)
ܒܝܠܓܝܟ (ܗܘܦܪܟܝܐ)	Bilecik (Provinz)
ܒܝܬ ܥܬܩܐ ܕܐܣܪܐܝܠ	Israel-Museum
ܒܐܠܝܟܣܝܪ (ܗܘܦܪܟܝܐ)	Balıkesir (Provinz)
ܒܝܬ ܝܠܕܐ	Geburtstag
ܬܘܠܥܐ	Würmer
ܬܘܩܢ ܓܝܕܝܐ ܩܢܛܪܘܢܝܐ	Zentralnervensystem
ܛܘܪܐ ܕܓܠܝܕܐ	Eisberg
ܡܫܠܡܢܐ	Muslim
ܢܢܥܐ	Minzen
ܩܠܒܐ:Commonscat	Vorlage:Commonscat
ܒܨܪܐ (ܡܕܝܢܬܐ)	Basra
ܐܓܪܬܐ ܕܠܘܬ ܪܗܘܡܝܐ	Brief des Paulus an die Römer
ܬܡܪܐ ܕܥܝܢܐ	Augenlid
ܗܘܦܪܟܝܣ ܕܛܘܪܩܝܐ	Liste der Provinzen der Türkei
ܡܪܝ ܓܝܘܪܓܝܣ ܣܗܕܐ	Georg (Heiliger)
ܐܣܘܬܐ ܕܠܐ ܬܚܘܡܐ	Ärzte ohne Grenzen
ܐܪܙܐ (ܡܫܝܚܝܘܬܐ)	Sakrament
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܝܦܣܝܐ	Brief des Paulus an die Philipper
ܡܫܝܚܐ	Messias
ܚܫܡܝܬܐ ܐܚܪܝܬܐ	Abendmahl Jesu
ܩܢܘܢܐ ܕܗܝܡܢܘܬܐ	Apostolisches Glaubensbekenntnis
ܒܢܝ ܐܝܣܪܐܝܠ	Israeliten
ܡܓܘܫܐ ܬܠܬܐ	Heilige Drei Könige
ܝܘܚܢܢ ܕܪܡܣܘܩܝܐ	Johannes von Damaskus
ܒܒܐ (ܬܪܥܐ)	Tor (Architektur)
ܣܕܪܐ:ܡܠܟܐ	Kategorie:König
ܣܕܪܐ:ܪܘܟܒ ܫܘܠܛܢܘܬܐ	Kategorie:Staatsform
ܠܫܢܐ ܕܡܝܢ	Min (Sprache)
ܥܘܪܡܫܐ	Umweltverschmutzung
ܒܒܠ (ܗܘܦܪܟܝܐ)	Babil
ܫܘܡܪܐ	Ruß
ܐܫܩܠܘܢ	Aschkelon
ܕܘܢܒܐ	Schwanz
ܩܐܕܣܝܐ (ܗܘܦܪܟܝܐ)	Al-Qadisiyya (Gouvernement)
ܡܪܝܡ ܡܓܕܠܝܬܐ	Maria Magdalena
ܡܪܪܬܐ	Gallenblase
ܥܕܬܐ ܟܠܕܝܬܐ ܩܬܘܠܝܩܝܬܐ	Chaldäisch-katholische Kirche
ܥܕܬܐ ܡܪܘܢܝܬܐ	Syrisch-Maronitische Kirche
ܡܪܬܐ	Galle
ܩܘܪܒܢܐ	Eucharistie
ܐܕܡ	Adam
ܐܘܘܫܐ	Ohrenschmalz
ܕܡܥܬܐ	Träne
ܥܡܬܐ (ܒܝܬܝܘܬܐ)	Tante
ܥܡܐ (ܒܝܬܝܘܬܐ)	Onkel
ܝܘܗܐܢ ܐܠܙܪ	Georg Elser
ܒܝܢܓܘܠ (ܗܘܦܪܟܝܐ)	Bingöl (Provinz)
ܥܡܐ ܐܪܡܢܝܐ	Armenier
ܐܝܕܝܢ (ܗܘܦܪܟܝܐ)	Aydın (Provinz)
ܩܛܠܥܡܐ ܐܪܡܢܝܐ	Völkermord an den Armeniern
ܐܡܐܣܝܐ (ܗܘܦܪܟܝܐ)	Amasya (Provinz)
ܦܪܝܙܘܢ ܒܪܝܟ	Prison Break
ܐܓܪܝ (ܗܘܦܪܟܝܐ)	Ağrı (Provinz)
ܒܘܪܕܘܪ (ܗܘܦܪܟܝܐ)	Burdur (Provinz)
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ	1. Brief des Paulus an die Korinther
ܝܗܘܕܐ ܣܟܪܝܘܛܐ	Judas Ischariot
ܐܒܪܐ	Feder
ܡܚܪܐ	Ingenieur
ܚܪܛܘܡܢܐ	Kichererbse
ܐܬܪܘܬܐ ܕܫܐܡ	Levante
ܓܒܪܐܝܠ (ܡܠܐܟܐ)	Gabriel (Erzengel)
ܓܪܡܦܝܠܐ	Elfenbein
ܨܘܪ	Tyros
ܒܘܠܘ (ܗܘܦܪܟܝܐ)	Bolu (Provinz)
ܙܢܩܐ	Kinn
ܨܘܡܐ ܕܐܪܒܥܝܢ	Fastenzeit
ܐܓܪܐ ܕܒܢܝܢܐ	Dach
ܒܝܛܠܝܣ (ܗܘܦܪܟܝܐ)	Bitlis (Provinz)
ܓܠܝܠܐ	Galiläa
ܪܥܡܐ	Donner
ܡܘܨܠ	Mossul
ܟܪܬܐ	Daumen
ܥܡܐ ܛܘܪܩܝܐ	Türken
ܦܐܦܐ ܫܢܘܕܐ ܬܠܝܬܝܐ	Schenuda III.
ܒܝܬ ܓܘܣܐ	Bunker
ܒܝܥܬܐ	Hühnerei
ܒܣܕܝܐ	Kissen
ܙܓܐ (ܢܩܘܫܐ)	Glocke
ܫܒܬܐ (ܝܗܘܕܝܘܬܐ)	Sabbat
ܫܡܝܪܡ	Semiramis
ܫܝܓܪܐ	Zahnfleisch
ܝܗ	JHWH
ܡܫܝܚܝܐ	Christ
ܟܪܘܙܘܬܐ ܕܡܪܩܘܣ	Evangelium nach Markus
ܟܟܪܝܬܐ ܕܕܒܫܐ	Bienenwabe
ܐܓܪܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ ܕܬܪܬܝܢ	2. Brief des Paulus an die Korinther
ܫܥܘܬܐ (ܡܠܘܐܐ)	Wachs
ܛܥܡܐ	Gustatorische Wahrnehmung
ܓܢܬ ܫܒܪܐ	Kindergarten
ܝܡܬܐ ܕܓܠܝܠܐ	See Genezareth
ܕܝܘܬܐ	Tinte
ܡܪܝ ܝܘܣܦ	Josef von Nazaret
ܠܘܩܐ ܐܘܢܓܠܣܛܐ	Lukas (Evangelist)
ܐܓܪܬܐ ܕܠܘܬ ܥܒܪܝܐ	Brief an die Hebräer
ܐܓܪܬܐ ܕܠܘܬ ܓܠܛܝܐ	Brief des Paulus an die Galater
ܡܪܝ ܡܝܟܐܝܠ ܪܒܐ	Michael der Syrer
Ϝ	Digamma
Ϙ	Koppa
ܥܛܡܐ	Oberschenkel
ܬܢܢܐ	Rauch
ܡܘܚܘܢܐ	Kleinhirn
ܐܓܪܬܐ ܕܠܘܬ ܩܘܠܣܝܐ	Brief des Paulus an die Kolosser
ܐܓܪܬܐ ܕܝܥܩܘܒ	Brief des Jakobus
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܝܘܚܢܢ	1. Brief des Johannes
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܡܘܢ	Brief des Paulus an Philemon
ܐܓܪܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ ܕܬܪܬܝܢ	2. Brief des Paulus an die Thessalonicher
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ	1. Brief des Paulus an die Thessalonicher
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܦܛܪܘܣ	1. Brief des Petrus
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܦܛܪܘܣ	2. Brief des Petrus
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ	1. Brief des Paulus an Timotheus
Ϛ	Stigma (Buchstabe)
ܡܪܕܝܢ (ܗܘܦܪܟܝܐ)	Mardin (Provinz)
ܚܡܨ (ܡܕܝܢܬܐ)	Homs
Ͳ	Sampi
ܘܐܟܐܩܐ ܕܝ ܟܘܐܪܝܣ	Oaxaca de Juárez
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܝܘܚܢܢ	2. Brief des Johannes
ܐܓܪܬܐ ܕܬܠܬ ܕܝܘܚܢܢ	3. Brief des Johannes
ܐܓܪܬܐ ܕܝܗܘܕܐ	Brief des Judas
ܐܓܪܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ ܕܬܪܬܝܢ	2. Brief des Paulus an Timotheus
ܐܓܪܬܐ ܕܠܘܬ ܛܛܘܣ	Brief des Paulus an Titus
ܫܝܪܢܐܟ (ܡܕܝܢܬܐ)	Şırnak
ܐܟܪܐ	Landwirt
ܓܘܣܢܐ	Flüchtling
Ϻ	San (Buchstabe)
ܩܠܝܕܐ (ܡܐܢܐ)	Schlüssel
ܥܕܥܐܕܐ	Festival
ܐܪܒܝܠ (ܡܕܝܢܬܐ)	Erbil
ܚܨܐ	Rücken
ܐܠܝܐ ܢܒܝܐ	Elija
ܙܚܘܪܝܬܐ (ܬܘܠܥܬܐ)	Seidenspinner
ܡܚܛܐ	Nadel
ܥܠܡܐ ܥܪܒܝܐ	Arabische Welt
ܦܓܘܕܬܐ	Zaumzeug
ܩܛܡܐ	Asche
ܢܘܗܕܪܐ (ܡܕܝܢܬܐ)	Dohuk
ܨܒܥܐ ܕܪܓܠܐ	Zehe (Fuß)
ܢܓܪܘܬܐ	Zimmerer
ܠܘܚܐ (ܚܫܘܒܬܐ)	Tabletcomputer
ܪܒܝܬܐ	Wucher
ܡܟܝܪܘܬܐ	Verlöbnis
ܫܘܪܡܐ	Mastdarm
ܐܪܡܝܐ (ܢܒܝܐ)	Jeremia
ܬܐܡܐ	Zwillinge
ܬܠܝܦܐ	Wimper
ܫܥܬܐ ܕܐܪܥܐ	Earth Hour
ܦܪܡܝܬܐ	Knopf
ܟܘܟܒܐ ܕܕܘܝܕ	Davidstern
ܡܪܝ ܐܣܛܦܢܘܣ	Stephanus
ܡܫܡܫܢܐ	Diakon
ܢܓܒ	Negev
ܟܢܥܢ	Kanaan
ܢܘܨܦܐ	Dämmerung
ܒܝܢܐ	Tamarisken
ܬܓܪܝܬ	Tikrit
ܚܠܐ (ܥܦܪܐ)	Staub
ܬܪܥܐ ܕܕܡܐ	Blutung
ܥܪܒܐ ܕܫܡܫܐ	Sonnenuntergang
ܐܡܝܫܐ	Sumpf
ܡܨܥܝܬܐ (ܨܒܥܐ)	Mittelfinger
ز	Zay (Arabischer Buchstabe)
ܣܒܐ (ܒܝܬܝܘܬܐ)	Großeltern
ܩܘܪܨܠܐ	Sprunggelenk
ܒܪ ܐܝܕܐ	Handschuh
ܢܫܒܐ ܕܥܝܢܐ	Netzhaut
ܬܘܩܢ ܓܝܕܝܐ ܡܚܕܘܪܝܐ	Peripheres Nervensystem
ܛܝܢܐ	Schlamm
ܓܓܘܠܬܐ	Golgota
ܗܢܝܢܐ (ܡܡܫܚܘܬܐ)	Zins
ܐܫܘܪ ܒܢܐܦܠ	Aššur-bāni-apli
ܓܕܫܐ	Unfall
ܦܛܪܝܪܟܐ	Patriarch
ا	Alif
ܚܟܐ	Gaumen
ت	Ta (Arabischer Buchstabe)
ث	Tha (Arabischer Buchstabe)
ج	Dschim (Arabischer Buchstabe)
ح	Ḥa
خ	Cha (Arabischer Buchstabe)
د	Dal (Arabischer Buchstabe)
ذ	Dhal (Arabischer Buchstabe)
ر	Ra (Arabischer Buchstabe)
ܪܓܫܐ	Sinn (Wahrnehmung)
س	Sin (Arabischer Buchstabe)
ܟܪܟ ܣܠܘܟ (ܡܕܝܢܬܐ)	Kirkuk
ܒܒܬܐ	Pupille
ܩܒܪܐ	Grab
ܠܒܘܢܬܐ	Weihrauch
ܚܡܬ (ܡܕܝܢܬܐ)	Hama (Syrien)
ܝܫܛܐ	Speiseröhre
ܟܝܣܐ ܕܐܫܟܐ	Hodensack
ܕܒܪܐ	Ländlicher Raum
ܚܪܘܫܬܐ	Luftröhre
ܓܪܡܐ ܕܥܛܡܐ	Oberschenkelknochen
ܫܚܘܪܐ	Holzkohle
ܐܘܟܡܐ ܕܥܝܢܐ	Iris (Auge)
ܫܦܠܘܗܝ ܕܢܝܠܘܣ	Nildelta
ܐܘܪܡܝܐ	Urmia
Ϸ	Scho
ܓܙܪܬܐ ܐܝܘܠܝܬܐ	Liparische Inseln
ܓܒܐ ܕܒܥܬ	Baath-Partei
ܦܩܪܐ	Wirbel (Anatomie)
ܒܪ ܩܠܐ	Echo
ܟܝܡܪܐ	Chimäre (Mythologie)
ܠܘܓܡܐ	Oberkiefer
ܬܝܒܘܬܐ	Beichte
ܡܛܘܚܬܐ	Zeigefinger
ܩܒܠܘܬܐ	Hebamme
ܐܪܙܝܪܐ	Stare
ܣܦܪܐ (ܩܢܘܢܝܐ)	Jurist
Ͱ	Heta
ܥܡܐ ܐܪܡܝܐ	Aramäer (Volk)
ܟܢܘܢܬܐ (ܫܪܝܬܐ)	Handgelenk
ܐܒܐ (ܐܠܗܐ)	Gott der Vater
ܐܢܒܐܪ (ܗܘܦܪܟܝܐ)	Al-Anbar
ܡܪܕܝܢ (ܡܕܝܢܬܐ)	Mardin
ܣܪܛܢܐ	Cancer
ܡܘܪܘܢ	Firmung
ܚܠܡܬܐ	Brustwarze
ܢܘܠܐ ܕܓܘܓܝ	Spinnennetz
ܐܫܥܝܐ	Jesaja
ܒܝܬ ܟܬܒܐ ܐܬܪܝܐ ܕܐܣܪܐܝܠ	Israelische Nationalbibliothek
ܥܪܫܐ	Molar (Zahn)
ܢܝܢܘܐ (ܗܘܦܪܟܝܐ)	Ninawa
ܢܘܗܕܪܐ (ܗܘܦܪܟܝܐ)	Dahuk (Gouvernement)
ܘܐܣܛ (ܗܘܦܪܟܝܐ)	Al-Wasit (Gouvernement)
