ʻApelika	Afrika
‘Alekelia	Algerien
Kelewikiona	Fernsehen
Chile	Chile
Ukaliali‘i	Merkur (Planet)
Hōkūloa	Venus (Planet)
Ka‘āwela	Jupiter (Planet)
Hele‘ekela	Uranus (Planet)
Nepekune	Neptun (Planet)
Kilo hōkū	Astronomie
Sinapoa	Singapur
Akeakamai	Wissenschaft
Likenekaina	Liechtenstein
Makemakika	Mathematik
Baharaina	Bahrain
‘Āmēnia	Armenien
Seripia	Serbien
‘Aukekulelia	Australien
Kālaikūlohea	Physik
‘Alekina	Argentinien
Kālaimeaola	Biologie
Kōlea ʻĀkau	Nordkorea
Kamabodia	Kambodscha
Nalala	Dinosaurier
Hoʻomana Mohameka	Islam
Kālailau nahele	Botanik
Sofia	Sofia
Kūlanakauhale	Stadt
Lā	Sonne
Kahua o nā hōkū	Sonnensystem
Haikokene	Wasserstoff
Hiliuma	Helium
Likiuma	Lithium
Beryllium	Beryllium
Makahiki	Jahr
Oslo	Oslo
Likepona	Lissabon
Rhône (kahawai)	Rhone
Boron	Bor
Kalepona	Kohlenstoff
Naikokene	Stickstoff
‘Okikene	Sauerstoff
Hōkū hele	Planet
Mokekao	Moskau
Fluorine	Fluor
ʻŌlelo ʻĪkālia	Italienische Sprache
Nīane	Neon
Sodiuma	Natrium
Makanekiuma	Magnesium
‘Aluminuma	Aluminium
‘Īnia	Indien
Silikone	Silicium
Pokepola	Phosphor
Sulufura	Schwefel
Kolorine	Chlor
William Shakespeare	William Shakespeare
‘Aragona	Argon
Potasiuma	Kalium
Kalipuna	Calcium
Monokolia	Mongolei
Scandium	Scandium
Titanium	Titan (Element)
Vanadium	Vanadium
Maine	Maine
Lio	Hauspferd
Hoʻomana Buda	Buddhismus
Nū Hamekia	New Hampshire
Leonardo da Vinci	Leonardo da Vinci
Makakukeka	Massachusetts
Konekikuka	Connecticut
Hawai‘i	Hawaii
Moana ʻĀlika	Arktischer Ozean
Heiti	Haiti
‘Ilana	Iran
‘Ilaka	Irak
‘Ālaka	Alaska
ʻIseraʻela	Israel
Panamā	Panama
Iemene	Jemen
Ioredāne	Jordanien
Pololika	Florida
Kaikikana	Kirgisistan
‘Alikona	Arizona
Kuete	Kuwait
Laosa	Laos
Lepanona	Libanon
‘Olekona	Oregon
Maladiwa	Malediven
Uka	Utah
Malaisia	Malaysia
Puruma	Myanmar
Nepala	Nepal
ʻOmana	Oman
Pakitana	Pakistan
Katala	Katar
Saudi ʻAlapia	Saudi-Arabien
Sililanaka	Sri Lanka
Suria	Syrien
Pokémon	Pokémon
Tailani	Thailand
Wiekanama	Vietnam
‘Apekanikana	Afghanistan
Banagaladesa	Bangladesch
Butana	Bhutan
Brunei	Brunei
ʻĀina Pilipino	Philippinen
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Tunisia	Tunesien
Beijing	Peking
Burakina Faso	Burkina Faso
ʻElikilea	Eritrea
Mauritiusa	Mauritius
Iulius Caesar	Gaius Iulius Caesar
Hamepuka	Hamburg
Huli honua	Geologie
Mikikana	Michigan
‘Ilinoe	Illinois
Tulinia	Thüringen
Kakoka ‘Ākau	North Dakota
Kakoka Hema	South Dakota
Monekana	Montana
Waiomina	Wyoming
‘Ikahō	Idaho
Wakinekona	Washington (Staat)
Moana ʻIniana	Indischer Ozean
Kololako	Colorado
ʻAlepa	Alpen
Kikako, ʻIlinoe	Chicago
‘Ōlelo Sepania	Spanische Sprache
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Wilikinia	Virginia
Wilikinia Komohana	West Virginia
Nuioka	New York (Bundesstaat)
Loke ‘Ailana	Rhode Island
Melelana	Maryland
Kelawea	Delaware
‘Ohaio	Ohio
Penekelewinia	Pennsylvania
Uetersen	Uetersen
Augustus	Augustus
Nū ‘Ieleke	New Jersey
‘Ōlelo Pinilana	Finnische Sprache
‘Inikiana	Indiana
Keokia (‘Amelika Hui Pū ‘ia)	Georgia
Kekeka	Texas
Kalolaina Hema	South Carolina
Seine	Seine
Buenos Aires	Buenos Aires
Mēkiko D.F.	Mexiko-Stadt
Mikikipi	Mississippi (Staat)
Kenekī	Tennessee
Nū Mekiko	New Mexico
‘Akenai	Athen
Minekoka	Minnesota
Wikonekina	Wisconsin
‘Iowa	Iowa
Nepalaka	Nebraska
Kanekaka	Kansas
Mikouli	Missouri
Luikiana	Louisiana
Kenekuke	Kentucky
‘Akanaka	Arkansas
‘Okalahoma	Oklahoma
Makekepuka	Magdeburg
Reykjavík	Reykjavík
Paipala	Bibel
Thulium	Thulium
Ka Ho‘omana Iesū ‘Oia‘i‘o	Wahre Jesus-Kirche
‘Ōlelo Pelekania	Englische Sprache
Đồng Hới	Đồng Hới
Concepción, Chile	Concepción (Chile)
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2009	2009
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
Lipekika	Leipzig
1998	1998
1999	1999
Kurów	Kurów
Kemika	Chemie
Makelika	Madrid
Lima	Lima
Santiago de Chile	Santiago de Chile
Quito	Quito
Ankara	Ankara
Riyadh	Riad
Kamakeko	Damaskus
Amman	Amman
Muscat	Maskat
Wikipedia:Sandbox	Wikipedia:Spielwiese
Wehimala	Weimar
Osasco	Osasco
Dong Hoi Airport	Flughafen Dong Hoi
Curitiba	Curitiba
Zichyújfalu	Zichyújfalu
Sarah Bernhardt	Sarah Bernhardt
Mauna Kana Helena	Mount St. Helens
Mokuhonua	Kontinent
Kapikala	Hauptstadt
Monzón	Monzón
Almazán	Almazán
Puke noi‘i kū‘ikena	Enzyklopädie
Ka papa kinohi	Wikipedia:Hauptseite
Vincent van Gogh	Vincent van Gogh
Frida Kahlo	Frida Kahlo
Michelangelo	Michelangelo
Pablo Picasso	Pablo Picasso
Raffael Santi	Raffael
Rembrandt	Rembrandt van Rijn
Frank Lloyd Wright	Frank Lloyd Wright
Matsuo Bashō	Matsuo Bashō
Castille a Leon	Kastilien und León
Meka	Mekka
Gabriel García Márquez	Gabriel García Márquez
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Māhele:Candidates for speedy deletion	Kategorie:Wikipedia:Schnelllöschen
Homer	Homer
Hōʻole Akua	Atheismus
Kālaikaiaola	Ökologie
Kālaiʻāina	Politik
Aupuni	Regierung
Qin Shi Huang	Qin Shihuangdi
Tolstoi	Lew Nikolajewitsch Tolstoi
Moku‘āina	Staat
ʻŌlelo Lūkini	Russische Sprache
‘Ōlelo Pākē	Chinesische Sprachen
Nelson Mandela	Nelson Mandela
Makani Pāhili	Tropischer Wirbelsturm
Moʻokalaleo	Literatur
Māhele:Palani	Kategorie:Frankreich
Oboe	Oboe
ʻOlumepika Kauwela ma 2008	Olympische Sommerspiele 2008
Granada	Granada
ʻĀtoma	Atom
Lāpaki	Kaninchen
Mohameka	Mohammed
Burgos	Burgos
Ronald Reagan	Ronald Reagan
‘Ōlelo Zaza	Zaza-Sprache
Māhele:Palakila	Kategorie:Brasilien
Kumumea kemikala	Chemisches Element
‘Ohe kani	Flöte
ʻAlea	Flächeninhalt
Hulahula	Tanz
Papa o nā ʻāina	Liste der Staaten der Erde
Miranda de Ebro (Burgos)	Miranda de Ebro
Kuli	Gehörlosigkeit
Ponferrada	Ponferrada
Santander	Santander
Helu piha	Ganze Zahl
Malgrat de Mar	Malgrat de Mar
‘Ōlelo ‘Alapia	Arabische Sprache
Tiranosauru	Tyrannosaurus
Terikeratopa	Triceratops
Setegasauru	Stegosaurus
Barakiosauru	Brachiosaurus
Welokirapetoa	Velociraptor
Hae	Flagge
‘Ulu	Brotfruchtbaum
Aupuni kiwikā	Gemeinde
Salamanca	Salamanca
Zamora (España)	Zamora (Spanien)
León (España)	León
Welemoneka	Vermont
Houston, Kekeka	Houston
Pēniki	Phoenix (Arizona)
Kakalameko	Sacramento
Honolulu, Hawaiʻi	Honolulu
Kauoha Hou	Neues Testament
Rafael Correa	Rafael Correa
Louvre	Louvre
‘Ao‘ao Kū‘oko‘a Pokoliko	Partido Independentista Puertorriqueño
Kalikimaka	Weihnachten
Mo‘ai	Moai
Hoʻolele hualono	Podcasting
Friedrich Schiller	Friedrich Schiller
Jean Auguste Dominique Ingres	Jean-Auguste-Dominique Ingres
Pule	Woche
Cervidae	Hirsche
Pule Alaka‘i A Ka Haku	Vaterunser
Musée d'Orsay	Musée d’Orsay
Mokupuni	Insel
Moshchena	Moschtschena
ʻōhiʻa lomi	Tomate
Paltoga	Paltoga
Panalā‘au o Quảng Binh	Quảng Bình
Bryan Cranston	Bryan Cranston
Felidae	Katzen
Pichilemu	Pichilemu
Canidae	Hunde
Karlstad	Karlstad
Mölnlycke	Mölnlycke
Bovidae	Hornträger
Phocidae	Hundsrobben
ʻAnekelopa	Antilope
‘Amelika	Amerika (Begriffsklärung)
El Burgo Ranero	El Burgo Ranero
Bercianos del Real Camino	Bercianos del Real Camino
Otariidae	Ohrenrobben
Pinnipedia	Robben
Zhengzhou	Zhengzhou
Mīkini helu	Taschenrechner
Halakepoka	Hartford (Connecticut)
‘Ōlelo Hawai‘i	Hawaiische Sprache
Pea kina	Großer Panda
Pae moku	Archipel
Valparaíso	Valparaíso
‘Ōlelo Sāmoa	Samoanische Sprache
Marlon Brando	Marlon Brando
‘Ōlelo Kahiki	Tahitianische Sprache
Wailele ‘o Niakala	Niagarafälle
Mošovce	Mošovce
Kauō	Laysan
ʻAperodite	Aphrodite
Nā mokuʻāina o ʻAmelika Hui	Bundesstaat der Vereinigten Staaten
Pauka niho	Zahnpasta
Mineapoli	Minneapolis
Apia	Apia
Brigitte Bardot	Brigitte Bardot
Arancón	Arancón
'ōlelo toki pona	Toki Pona
Paul Gauguin	Paul Gauguin
Teide	Teide
Kālaiʻelala	Insektenkunde
Ágreda	Ágreda
ʻAnekilosauru	Ankylosaurus
Waleluka	Walross
Johannes Vermeer	Jan Vermeer
Teletubbies	Teletubbies
Kahiki	Tahiti
Israel Kamakawiwoʻole	Israel Kamakawiwoʻole
Johnny Cash	Johnny Cash
Nanahana	Ginkgo
Hesioda	Hesiod
Molinaseca	Molinaseca
Josepa Samika	Joseph Smith
Pihemanu	Midwayinseln
Paris Hilton	Paris Hilton
Palapola	Parabel (Mathematik)
Helu kumu	Primzahl
Palencia	Provinz Palencia
ʻUkulele	Ukulele
San Justo de la Vega	San Justo de la Vega
Hawai‘i (mokupuni)	Hawaii (Insel)
Georg Philipp Telemann	Georg Philipp Telemann
ʻUlano	Uranos
Coronel Fabriciano	Coronel Fabriciano
Pamela Anderson	Pamela Anderson
Gema	Schmuckstein
Nā panalā‘au o Burgos	Liste der Gemeinden in der Provinz Burgos
Puahōlani	Tulpen
Nā panalā‘au o León	Liste der Gemeinden in der Provinz León
Nikolai Rimsky-Korsakov	Nikolai Andrejewitsch Rimski-Korsakow
Nā panalā‘au o Salamanca	Liste der Gemeinden in der Provinz Salamanca
Nā panalā‘au o Soria	Liste der Gemeinden in der Provinz Soria
Nā panalā‘au o Tarragona	Liste der Gemeinden in der Provinz Tarragona
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O’Toole
Nā panalā‘au o Zamora	Liste der Gemeinden in der Provinz Zamora
Lili‘uokalani	Liliʻuokalani
Joey King	Joey King
X-Men	X-Men
Nika	Nyx
Mauna Kea	Mauna Kea
O‘ahu	Oʻahu
Grajal de Campos	Grajal de Campos
Sonata No. 8 no Piano (Beethoven)	Klaviersonate Nr. 8 (Beethoven)
ʻĀpana	Distrikt
Aotearoa	Aotearoa
John Singer Sargent	John Singer Sargent
Sesame Street	Sesamstraße
Aupuni Mōʻī o Hawaiʻi	Königreich Hawaiʻi
Mauna Loa	Mauna Loa
Pat Hingle	Pat Hingle
Frans Hals	Frans Hals
Pō La‘i Ē	Stille Nacht, heilige Nacht
Nuʻuhiwa	Marquesas
Edentata	Nebengelenktiere
Hualālai	Hualālai
Caltojar	Caltojar
Berlanga de Duero	Berlanga de Duero
Christopher Lee	Christopher Lee
Knoxville, Kenekī	Knoxville (Tennessee)
Lāna‘i	Lānaʻi
Carl Larsson	Carl Larsson
Kīlauea	Kīlauea
Maui	Maui
Māmā	Tempo (Musik)
Christopher Plummer	Christopher Plummer
Mokupuni o Hawai‘i	Liste der Hawaii-Inseln
Ivan Shishkin	Iwan Iwanowitsch Schischkin
Moloka‘i	Molokaʻi
Nancy Reagan	Nancy Reagan
Almuñécar	Almuñécar
Kaua‘i	Kauaʻi
Tigranes II	Tigranes II.
Georges de La Tour	Georges de la Tour
Adour	Adour
Ivan Kramskoi	Iwan Nikolajewitsch Kramskoi
Motril	Motril
Roger Ebert	Roger Ebert
John Bauer	John Bauer
Adolfo Suárez	Adolfo Suárez
Thomas Eakins	Thomas Eakins
Kamehameha I	Kamehameha I.
Hilo	Hilo
Anggun	Anggun
Kaho‘olawe	Kahoʻolawe
Kalo	Taro
Makua Kamiano	Damian de Veuster
Ni‘ihau	Niʻihau
Dixie Carter	Dixie Carter
Guadix	Guadix
Pete Seeger	Pete Seeger
Heleuī	Halloween
Waikīkī	Waikīkī
Brook Mahealani Lee	Brook Lee
Castrojeriz	Castrojeriz
Camponaraya	Camponaraya
Villardiegua de la Ribera	Villardiegua de la Ribera
Małgorzata Braunek	Małgorzata Braunek
O Clone	O Clone
Xuxa	Xuxa
Imelda Marcos	Imelda Marcos
Mariana Ximenes	Mariana Ximenes
Órgiva	Órgiva
Michael Gough	Michael Gough (Schauspieler)
Peterosauru	Pterodactylus
Makeima	Macadamia
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Andrew Wyeth	Andrew Wyeth
'Imi loa Dora	Dora (Zeichentrickserie)
Loja	Loja (Spanien)
Hua mele hapawalu	Achtelnote
Hua mele ‘oko‘a	Ganze Note
Hua mele hapahā	Viertelnote
Kamehameha	Kamehameha
Richard Schiff	Richard Schiff
Pedro de Betancur	Peter von Betancurt
Villarcayo de Merindad de Castilla la Vieja (Burgos)	Villarcayo de Merindad de Castilla la Vieja
Maki a Ruby	Max & Ruby
Jeddah	Dschidda
Salas de los Infantes (Burgos)	Salas de los Infantes
Hua mele hapa kanakolukūmālua	Zweiunddreißigstelnote
Kamehameha II	Kamehameha II.
Valencia de Don Juan	Valencia de Don Juan
Hua mele hapalua	Halbe Note
ʻAiea	ʻAiea (Hawaii)
ʻĪao	ʻĪao Valley
Salobreña	Salobreña
Aldea del Obispo	Aldea del Obispo (Salamanca)
Arabayona de Mógica	Arabayona de Mógica (Salamanca)
Roa (Burgos)	Roa (Burgos)
Kamehameha III	Kamehameha III.
Buke a Moramona	Buch Mormon
Carazo	Departamento Carazo
Astorga	Astorga
Pōmare IV	Pomaré IV.
Mary Kawena Pukui	Mary Kawena Pukui
Alexander ʻIolani Liholiho	Kamehameha IV.
Tan Son Nhat International Airport	Flughafen Tan-Son-Nhat
Aliud	Aliud (Spanien)
Baraona	Baraona
Medinaceli	Medinaceli
Láchar	Láchar
Burgo de Osma-Ciudad de Osma	El Burgo de Osma-Ciudad de Osma
Suellacabras	Suellacabras
Yanguas	Yanguas
San Esteban de Gormaz	San Esteban de Gormaz
Baza	Baza
San Vicente del Raspeig	San Vicente del Raspeig
Aranda de Duero (Burgos)	Aranda de Duero
Nā kiaʻāina o Hawaiʻi	Liste der Gouverneure von Hawaii
Ka'aahi Thomas	Thomas, die kleine Lokomotive
Likaono	Lykaon (Arkadier)
Alhama de Granada	Alhama de Granada
Mauna kai	Tiefseeberg
Espinosa de los Monteros (Burgos)	Espinosa de los Monteros (Burgos)
Haleakalā	Haleakalā
Huahine	Huahine
Alfoz de Bricia (Burgos)	Alfoz de Bricia
Villalbilla de Burgos (Burgos)	Villalbilla de Burgos
Honolulu International Airport	Honolulu International Airport
Efrem Zimbalist, Jr.	Efrem Zimbalist Jr.
Kailua	Kailua (Hawaii)
Belorado (Burgos)	Belorado
Armilla	Armilla (Granada)
Maracena	Maracena
La Bouza	La Bouza (Salamanca)
Līhuʻe	Līhuʻe
Merindad de Valdeporres (Burgos)	Merindad de Valdeporres
Aldealengua	Aldealengua (Salamanca)
Kahuku	Kahuku
Priaranza del Bierzo	Priaranza del Bierzo
Villagonzalo Pedernales (Burgos)	Villagonzalo Pedernales
Pinos Puente	Pinos Puente
El Bodón	El Bodón (Salamanca)
Santa Fe	Santa Fe (Granada)
Kailua-Kona	Kailua-Kona
Waipahu	Waipahu
Viveiro	Viveiro
Sobrado	Sobrado (A Coruña)
Palapala ‘Āina Honua	Weltkarte
Kapaʻa	Kapaʻa
Hawaiʻi Ponoʻī	Hawaiʻi ponoʻī
Huinakolu Polenekia	Polynesisches Dreieck
Reinosa	Reinosa
Almenara de Tormes	Almenara de Tormes
Bermellar	Bermellar
Mokupāpapa	Kure-Atoll
Sila Hawaiʻi	Hawaii-Mönchsrobbe
Cacabelos	Cacabelos
Béjar	Béjar (Salamanca)
‘Ārue	Arue (Französisch-Polynesien)
Kaunakakai	Kaunakakai
Fermoselle	Fermoselle
Mansilla de las Mulas	Mansilla de las Mulas
ʻOeneusa	Oineus (Vater des Meleagros)
Atapuerca (Burgos)	Atapuerca
Riocavado de la Sierra (Burgos)	Riocavado de la Sierra
Menekikā	Mehndi
Backyardigans	Backyardigans – Die Hinterhofzwerge
Barca	Barce (Libyen)
Ciudad Rodrigo	Ciudad Rodrigo
Sahagún	Sahagún
Villatuelda (Burgos)	Villatuelda
Almarza	Almarza
Abejar	Abejar
Aldealpozo	Aldealpozo
Calatañazor	Calatañazor
Arcos de Jalón	Arcos de Jalón
Almenar de Soria	Almenar de Soria
Coscurita	Coscurita
Vinuesa	Vinuesa
Cabrejas del Pinar	Cabrejas del Pinar
Villasayas	Villasayas
Castillejo de Robledo	Castillejo de Robledo
Ciria	Ciria
Salduero	Salduero
Carrascosa de Abajo	Carrascosa de Abajo
Yelo	Yelo
Montenegro de Cameros	Montenegro de Cameros
Ucero	Ucero
Langa de Duero	Langa de Duero
Caracena	Caracena
Cubo de la Solana	Cubo de la Solana
Toro (Zamora)	Toro (Spanien)
Morón de Almazán	Morón de Almazán
Montejo de Tiermes	Montejo de Tiermes
Trabadelo	Trabadelo
Caleruega	Caleruega
Hospital de Órbigo	Hospital de Órbigo
Villafranca del Bierzo	Villafranca del Bierzo
Pōmare II	Pomaré II.
Pōmare I	Pomaré I.
Pōmare III	Pomaré III.
Peñausende	Peñausende
Villadangos del Páramo	Villadangos del Páramo
Vega de Valcarce	Vega de Valcarce
Valverde de la Virgen	Valverde de la Virgen
Barbalos	Barbalos
Valle de Valdebezana (Burgos)	Valle de Valdebezana
Calzada del Coto	Calzada del Coto
Valdesamario	Valdesamario
Fuentes de Oñoro	Fuentes de Oñoro (Salamanca)
Insane Clown Posse	Insane Clown Posse
Aldearrodrigo	Aldearrodrigo (Salamanca)
Tardajos (Burgos)	Tardajos
Condado de Treviño	Condado de Treviño
Castildelgado	Castildelgado
Cardeñuela Riopico	Cardeñuela Riopico
Alba de Tormes	Alba de Tormes
Espinosa del Camino (Burgos)	Espinosa del Camino
Villares de Órbigo	Villares de Órbigo
Orbaneja Riopico (Burgos)	Orbaneja Ríopico
Peñaranda de Duero (Burgos)	Peñaranda de Duero
Viloria de Rioja (Burgos)	Viloria de Rioja
Villambistia (Burgos)	Villambistia
Tosantos (Burgos)	Tosantos
Hornillos del Camino (Burgos)	Hornillos del Camino
Villafranca Montes de Oca (Burgos)	Villafranca Montes de Oca
Hontanas (Burgos)	Hontanas
ʻAinaonao	Ameisenbären
Castrillo Matajudíos	Castrillo Matajudíos
N. C. Wyeth	N. C. Wyeth
Molinos de Duero	Molinos de Duero
Mamo	Königskleidervogel
Garcihernández	Garcihernández
La Alberca	La Alberca (Salamanca)
Redecilla del Camino (Burgos)	Redecilla del Camino
Lahaina	Lāhainā
Kahului	Kahului
Rabé de las Calzadas (Burgos)	Rabé de las Calzadas
Villalbos	Villalbos
Kīhei	Kīhei
Pelanekelina	Franklin – Eine Schildkröte erobert die Welt
Hua mele hapa ‘umikūmāono	Sechzehntelnote
Covarrubias	Covarrubias (Burgos)
Aldearrubia	Aldearrubia (Salamanca)
Cerezo de Río Tirón	Cerezo de Río Tirón
Pele	Pele (Göttin)
Lōʻihi	Lōʻihi
Kartlis Deda	Kartlis Deda
Wikipedia:Nohona kuhina	Wikipedia:Botschaft
Aloha ʻOe	Aloha ʻOe
Halemaʻumaʻu	Halemaʻumaʻu
Manuae	Manuae (Gesellschaftsinseln)
Holoikauaua	Pearl-und-Hermes-Atoll
Briviesca (Burgos)	Briviesca
Māhele:Kelemānia	Kategorie:Deutschland
Māhele:ʻAmelika Hui Pū ʻia	Kategorie:Vereinigte Staaten
Māhele:Sepania	Kategorie:Spanien
Māhele:Mekiko	Kategorie:Mexiko
Māhele:Pōlani	Kategorie:Polen
Māhele:Wiekanama	Kategorie:Vietnam
Māhele:Hōʻike honua	Kategorie:Geographie
Māhele:Akeakamai	Kategorie:Wissenschaft
Kāneʻohe	Kāneʻohe
Waiʻaleʻale	Waiʻaleʻale
Care Bears	Die Glücksbärchis
Hanauma	Hanauma Bay
Babilafuente	Babilafuente
Oña (Burgos)	Oña (Burgos)
Coruña del Conde	Coruña del Conde
Zazuar (Burgos)	Zazuar
Alfoz de Santa Gadea (Burgos)	Alfoz de Santa Gadea
Albillos (Burgos)	Albillos
Medina de Pomar (Burgos)	Medina de Pomar
Arandilla (Burgos)	Arandilla (Burgos)
Lerma (Burgos)	Lerma (Burgos)
Hiʻiaka	Hiʻiaka (Mythologie)
Alcañices	Alcañices
Alaraz	Alaraz
Aldeadávila de la Ribera	Aldeadávila de la Ribera
Sasamón (Burgos)	Sasamón
Ahigal de Villarino	Ahigal de Villarino
Ahigal de los Aceiteros	Ahigal de los Aceiteros
Barceo	Barceo
Vizcaínos (Burgos)	Vizcaínos
Agallas	Agallas
Abusejo	Abusejo
Jaramillo de la Fuente (Burgos)	Jaramillo de la Fuente
Aldeanueva de Figueroa	Aldeanueva de Figueroa (Salamanca)
Cabeza del Caballo	Cabeza del Caballo
Bañobárez	Bañobárez
Barruecopardo	Barruecopardo
Castillejo de Martín Viejo	Castillejo de Martín Viejo
Aldeaseca de la Frontera	Aldeaseca de la Frontera (Salamanca)
Aldeaseca de Alba	Aldeaseca de Alba (Salamanca)
Navamorales	Navamorales
Aldeanueva de la Sierra	Aldeanueva de la Sierra (Salamanca)
Berrocal de Huebra	Berrocal de Huebra (Salamanca)
Arapiles	Arapiles (Salamanca)
Sarracín (Burgos)	Sarracín
Vileña (Burgos)	Vileña
Villariezo (Burgos)	Villariezo
Huerta de Rey	Huerta de Rey
Cayuela	Cayuela
Puebla de Sanabria	Puebla de Sanabria
Bogajo	Bogajo (Salamanca)
Barbadillo	Barbadillo
Aldeacipreste	Aldeacipreste (Salamanca)
Alconada	Alconada (Salamanca)
Añover de Tormes	Añover de Tormes (Salamanca)
Aldeavieja de Tormes	Aldeavieja de Tormes (Salamanca)
Almendra (Salamanca)	Almendra (Salamanca)
Aldeatejada	Aldeatejada
Alba de Yeltes	Alba de Yeltes
Aldehuela de la Bóveda	Aldehuela de la Bóveda (Salamanca)
Armenteros	Armenteros (Salamanca)
Berrocal de Salvatierra	Berrocal de Salvatierra (Salamanca)
Hāna	Hāna
Kekaha	Kekaha
Humada (Burgos)	Humada
Pampliega (Burgos)	Pampliega
Frías (Burgos)	Frías (Burgos)
Jonah Kūhiō Kalanianaʻole	Jonah Kūhiō Kalanianaʻole
Pineda de la Sierra (Burgos)	Pineda de la Sierra
Las Quintanillas (Burgos)	Las Quintanillas (Burgos)
Luakini ma Lā‘ie, Hawai‘i	Laie-Hawaii-Tempel
Aldehuela de Yeltes	Aldehuela de Yeltes (Salamanca)
Monasterio de Rodilla (Burgos)	Monasterio de Rodilla
Anaya de Alba	Anaya de Alba (Salamanca)
Santo Domingo de Silos (Burgos)	Santo Domingo de Silos (Burgos)
La Bastida	La Bastida (Salamanca)
La Alameda de Gardón	La Alameda de Gardón
La Alamedilla	La Alamedilla
Arcos (Burgos)	Arcos de la Llana
La Alberguería de Argañán	La Alberguería de Argañán (Salamanca)
Arcediano	Arcediano (Salamanca)
Boada	Boada (Salamanca)
Lehua	Lehua
El Arco	El Arco (Salamanca)
Māhele:Disambig	Kategorie:Begriffsklärung
San Juan del Monte (Burgos)	San Juan del Monte
Beleña	Beleña (Salamanca)
Cavia (Burgos)	Cavia (Burgos)
Maraghar lukua	Massaker von Maraga
Hua mele hapa hanelekūmāiwakāluakūmāwalu	Hundertachtundzwanzigstelnote
Hua mele hapa kanaonokūmāhā	Vierundsechzigstelnote
Bochotnica	Bochotnica
Sanna Nielsen	Sanna Nielsen
Conrad Bain	Conrad Bain
Carrossel	Carrossel
Māhele:Nā ‘āinapuni‘ole	Kategorie:Kontinent
Anakuhi:Nā hōkū hele o ke kahua o nā hōkū	Vorlage:Navigationsleiste Sonnensystem
Karacaoğlan	Benutzer:Mufy/Karacaoğlan
Wikipedia:Nā kahu	Wikipedia:Administratoren
