אפריקע	Afrika
קענטאקי	Kentucky
ארקענסא	Arkansas
ניל ארמסטראנג	Neil Armstrong
אורדו	Urdu
עדיט פיאף	Édith Piaf
אקלעהאמע	Oklahoma
דוניי	Donau
צפון ים	Nordsee
האנאווער	Hannover
מיינץ	Mainz
וויסבאדן	Wiesbaden
ראגוזא	Dubrovnik
זארבריקן	Saarbrücken
מינכן	München
ערפורט	Erfurt
דרעזדן	Dresden
וויען	Wien
מאדאנא	Madonna (Künstlerin)
קאפנהאגן	Kopenhagen
קאלינינגראד אבלאסט	Oblast Kaliningrad
שטאקהאלם	Stockholm
העלסינקי	Helsinki
דובלין	Dublin
רעקיאוויק	Reykjavík
טאלין	Tallinn
ריגע	Riga
לואי ארמסטראנג	Louis Armstrong
בראטיסלאווא	Bratislava
בודאפעשט	Budapest
דאנציג	Danzig
פראנקפורט	Frankfurt am Main
ברעסלוי	Breslau
קאטאליציזם	Katholizismus
ביבל	Bibel
הא טשי מין שטאט	Ho-Chi-Minh-Stadt
האנוי	Hanoi
ישוס ריכטיגע קירכע	Wahre Jesus-Kirche
ענגליש	Englische Sprache
באנגקאק	Bangkok
אדעס	Odessa
קאנסעפסיאן	Concepción (Chile)
דיפלאמאטיע	Diplomatie
קיעוו	Kiew
אנטעריא	Ontario
אטאווא	Ottawa
דזשובא	Juba (Stadt)
מאניטאבא	Manitoba
אלבערטא	Alberta
נאווע סקאשע	Nova Scotia
יערעוואן	Jerewan
קאנסקאוואלע	Końskowola
דאר עס סאלאאם	Daressalam
ניו בראנזוויק	New Brunswick
בריטישע קאלומביע	British Columbia
2000	2000
2003	2003
2002	2002
2001	2001
סאסקאטשעווען	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
קוילן זייערס	Kohlenstoffdioxid
2013	2013
2014	2014
2015	2015
נייפונדלאנד און לאבראדאר	Neufundland und Labrador
2008	2008
נארדוועסט טעריטאריעס	Nordwest-Territorien
יוקאן	Yukon (Territorium)
2004	2004
וויקיטרעוול	Wikitravel
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
שארל דע גאל	Charles de Gaulle
1902	1902
פירענצע	Florenz
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
נירנבערג	Nürnberg
1999	1999
1917	1917
1918	1918
עסנווארג	Lebensmittel
דיסבורג	Duisburg
שלאנג	Schlangen
זשאק שיראק	Jacques Chirac
גיך פון ליכט	Lichtgeschwindigkeit
ארעל סעקס	Oralverkehr
אשפג	LOL
1טן יאנואר	1. Januar
2טן יאנואר	2. Januar
1920	1920
3טן יאנואר	3. Januar
1919	1919
1921	1921
1922	1922
4טן יאנואר	4. Januar
1923	1923
ביאביא ראיאן	Región del Bío-Bío
1924	1924
קארליק פלאנעט	Zwergplanet
5טן יאנואר	5. Januar
אריקא	Arica
מאלמע	Malmö
6טן יאנואר	6. Januar
עלעקטראן	Elektron
7טן יאנואר	7. Januar
8טן יאנואר	8. Januar
9טן יאנואר	9. Januar
10טן יאנואר	10. Januar
11טן יאנואר	11. Januar
12טן יאנואר	12. Januar
13טן יאנואר	13. Januar
בירמינגהאם	Birmingham
14טן יאנואר	14. Januar
15טן יאנואר	15. Januar
16טן יאנואר	16. Januar
17טן יאנואר	17. Januar
18טן יאנואר	18. Januar
19טן יאנואר	19. Januar
20סטן יאנואר	20. Januar
אינדוסטריעלע רעוואלוציע	Industrielle Revolution
21סטן יאנואר	21. Januar
22סטן יאנואר	22. Januar
23סטן יאנואר	23. Januar
רוימישע אימפעריע	Römische Kaiserzeit
24סטן יאנואר	24. Januar
25סטן יאנואר	25. Januar
מינסק	Minsk
26סטן יאנואר	26. Januar
מייקראסאפט	Microsoft
27סטן יאנואר	27. Januar
28סטן יאנואר	28. Januar
29סטן יאנואר	29. Januar
30סטן יאנואר	30. Januar
31סטן יאנואר	31. Januar
פראטאן	Proton
2טן דעצעמבער	2. Dezember
1טן דעצעמבער	1. Dezember
3טן דעצעמבער	3. Dezember
7טן דעצעמבער	7. Dezember
5טן דעצעמבער	5. Dezember
8טן דעצעמבער	8. Dezember
10טן דעצעמבער	10. Dezember
6טן דעצעמבער	6. Dezember
9טן דעצעמבער	9. Dezember
פינק פלויד	Pink Floyd
4טן דעצעמבער	4. Dezember
1טן פעברואר	1. Februar
2טן פעברואר	2. Februar
3טן פעברואר	3. Februar
קאריוו	Kurów
4טן פעברואר	4. Februar
5טן פעברואר	5. Februar
6טן פעברואר	6. Februar
7טן פעברואר	7. Februar
8טן פעברואר	8. Februar
9טן פעברואר	9. Februar
10טן פעברואר	10. Februar
כעמיע	Chemie
14טן פעברואר	14. Februar
13טן פעברואר	13. Februar
15טן פעברואר	15. Februar
11טן פעברואר	11. Februar
12טן פעברואר	12. Februar
סמאלענסק	Smolensk
19טן פעברואר	19. Februar
17טן פעברואר	17. Februar
16טן פעברואר	16. Februar
18טן פעברואר	18. Februar
20סטן פעברואר	20. Februar
אנאליטישע כעמיע	Analytische Chemie
נייטראן	Neutron
21סטן פעברואר	21. Februar
22סטן פעברואר	22. Februar
23סטן פעברואר	23. Februar
24סטן פעברואר	24. Februar
25סטן פעברואר	25. Februar
26סטן פעברואר	26. Februar
27	27
27סטן פעברואר	27. Februar
28סטן פעברואר	28. Februar
11טן דעצעמבער	11. Dezember
29סטן פעברואר	29. Februar
12טן דעצעמבער	12. Dezember
וויזועל בייסיק	Visual Basic Classic
13טן דעצעמבער	13. Dezember
14טן דעצעמבער	14. Dezember
15טן דעצעמבער	15. Dezember
2טן מערץ	2. März
3טן מערץ	3. März
5טן מערץ	5. März
1טן מערץ	1. März
7טן מערץ	7. März
8טן מערץ	8. März
4טן מערץ	4. März
10טן מערץ	10. März
11טן מערץ	11. März
6טן מערץ	6. März
13טן מערץ	13. März
9טן מערץ	9. März
12טן מערץ	12. März
15טן מערץ	15. März
14טן מערץ	14. März
++C	C++
16טן דעצעמבער	16. Dezember
17טן דעצעמבער	17. Dezember
