Afrig	Afrika
Uraanus	Uranus (Planet)
Neptuun	Neptun (Planet)
Saytubiddiw	Astronomie
Singapoor	Singapur
Xam-xam	Wissenschaft
Pluton	Pluto
Liechtenstein	Liechtenstein
Xareb Àdduna bu Njëkk	Erster Weltkrieg
Ñaareelu Xareb Àdduna	Zweiter Weltkrieg
Skopje	Skopje
Linux	Linux
Xayma	Mathematik
Bahrayni	Bahrain
Armeeni	Armenien
Seerbi	Serbien
Óstraali	Australien
Jëmm	Physik
Arsantin	Argentinien
Peru	Peru
Kore gu Bëj-gànnaar	Nordkorea
Kamboodi	Kambodscha
Alxuraan	Koran
Lislaam	Islam
Jubaljana	Ljubljana
Jimbulang bu waa-Brëtaañ	Encyclopædia Britannica
World Wide Web	World Wide Web
Jigéen	Frau
Sofiya	Sofia
Jant	Sonne
Asamaan	Himmel (planetär)
Oseyaani	Ozeanien
Nosteg jant	Sonnensystem
Bés	Tag
Timoor gu Penku	Osttimor
Guddi	Nacht
At	Jahr
Oslo	Oslo
Lisbon	Lissabon
Way	Musik
Mosku	Moskau
Cadd	Tschad
Seland-Gu-Bees	Neuseeland
End	Indien
Tuvalu	Tuvalu
Tonga	Tonga
Samowaa	Samoa
Duni Solomon	Salomonen
Wanuatu	Vanuatu
Papuwaasi-Gine-Gu-Bees	Papua-Neuguinea
Palau	Palau
Nauru	Nauru
Réew yu Bennoo yu Mikronesi	Föderierte Staaten von Mikronesien
Duni Marshall	Marshallinseln
Kiribati	Kiribati
Mongoli	Mongolei
Fiiji	Fidschi
Benesuwela	Venezuela
Amsterdam	Amsterdam
Rab	Tier
Surinaam	Suriname
Paraguwaay	Paraguay
Guyaana	Guyana
Fànn	Kunst
Ekwadoor	Ecuador
Koloombi	Kolumbien
Boliibi	Bolivien
Tirinidaad ak Tobaago	Trinidad und Tobago
Gàncax	Pflanzen
Saint Vincent and the Grenadines	St. Vincent und die Grenadinen
Saint Lucia	St. Lucia
Saint Kitts and Nevis	St. Kitts und Nevis
Jamayka	Jamaika
Grenada	Grenada
Guwaatemala	Guatemala
Bahamas	Bahamas
Ganaar	Haushuhn
Antigua ak Barbuda	Antigua und Barbuda
Onduras	Honduras
Dominika	Dominica
Réewum Dominik	Dominikanische Republik
Mbaam	Hausschwein
Mbàmbulaan gu Bëj-gànnaar	Arktischer Ozean
Ayiti	Haiti
Salbadoor	El Salvador
Iraan	Iran
Iraak	Irak
Kosta Riika	Costa Rica
Israayil	Israel
Panamaa	Panama
Yaman	Jemen
Jordaani	Jordanien
Nikaraaguwa	Nicaragua
Kirgistaan	Kirgisistan
Kowet	Kuwait
Réewum Lawos	Laos
Libaa	Libanon
Maldiif	Malediven
Aamerig	Amerika
Maleesi	Malaysia
Miyanmaar	Myanmar
Nepaal	Nepal
Omaan	Oman
Pakistaan	Pakistan
Kataar	Katar
Araabi Sawdit	Saudi-Arabien
Siri Laanka	Sri Lanka
Siri	Syrien
Tajikistaan	Tadschikistan
Taaywaan	Republik China (Taiwan)
Taaylaand	Thailand
Ceññeer-mbej	Hörfunk
Turkumenistaan	Turkmenistan
Imaaraat yu Araab yu Bennoo yi	Vereinigte Arabische Emirate
Wiyetnaam	Vietnam
Kore gu Bëj-saalum	Südkorea
Afganistaan	Afghanistan
Banglaades	Bangladesch
Mali	Mali
Angolaa	Angola
Butaan	Bhutan
Tansani	Tansania
Filipiin	Philippinen
Réewum Diggu Afrig	Zentralafrikanische Republik
Dottub Bëj-saalum	Südpol
Dottub Bëj-gànnaar	Nordpol
Albert Einstein	Albert Einstein
Mboq	Gelb
Togóo	Togo
Tiniisi	Tunesien
Saambi	Sambia
Simbaawee	Simbabwe
Bene	Benin
Botswana	Botswana
Burkinaa Faaso	Burkina Faso
Buruundi	Burundi
Komoor	Komoren
Kongóo-Brasaawiil	Republik Kongo
Kongóo-Kinshasa	Demokratische Republik Kongo
Jibuti	Dschibuti
Gineg yamoo	Äquatorialguinea
Eritere	Eritrea
Tibilisi	Tiflis
Gaboŋ	Gabun
Gàmbi	Gambia
Gine	Guinea
Gine Bisaawóo	Guinea-Bissau
Kodiwaar	Elfenbeinküste
Kamerun	Kamerun
Kap Weert	Kap Verde
Lesoto	Lesotho
Libeeria	Liberia
Libi	Libyen
Madagaskaar	Madagaskar
Malawi	Malawi
Gànnaar	Mauretanien
Móoris	Mauritius
Marok	Marokko
Mosambik	Mosambik
Namibi	Namibia
Niseer	Niger
Charles Darwin	Charles Darwin
Ugandaa	Uganda
Ruwandaa	Ruanda
Saw Tome ak Preesip	São Tomé und Príncipe
Senegaal	Senegal
Seysel	Seychellen
Siraa Leyoon	Sierra Leone
Somali	Somalia
Julius Caesar	Gaius Iulius Caesar
Sudaan	Sudan
Suwaasilaand	Swasiland
Kureelu Mbootayu Xeet yi	Vereinte Nationen
Melosuuf	Geographie
Melo	Farbe
Prag	Prag
Baxa	Blau
Yanu mbëj	Elektrische Ladung
Poortorikoo	Puerto Rico
Mbàmbulaanug End	Indischer Ozean
Wàll:Xët wu njëkk	Kategorie:!Hauptkategorie
Koppar	Geld
Gunóor	Insekten
Niccolò Machiavelli	Niccolò Machiavelli
Uetersen	Uetersen
Jibraltaar	Gibraltar
Sagreb	Zagreb
Astana	Astana
Aten	Athen
Bagdad	Bagdad
Caracas	Caracas
Wiyen	Wien
Kopenagen	Kopenhagen
Stokolm	Stockholm
Elsinki	Helsinki
Dublin	Dublin
Reykjawik	Reykjavík
Talin	Tallinn
Riga	Riga
Baratislawa	Bratislava
Budapest	Budapest
Luksambuur (péy)	Luxemburg (Stadt)
Wadus	Vaduz
Biibël	Bibel
San Marino (péy)	Stadt San Marino
Ho Chi Minh City	Ho-Chi-Minh-Stadt
Jàngu Yéesu bu Dëggu bi	Wahre Jesus-Kirche
Wu-angalteer	Englische Sprache
Andorra la Vella	Andorra la Vella
Đồng Hới	Đồng Hới
Concepción (Ciili)	Concepción (Chile)
Kiyew	Kiew
Końskowola	Końskowola
Xartum	Khartum
Sharles Degóol	Charles de Gaulle
Mbëjfepp	Elektron
Minsk	Minsk
Feppsaal	Proton
Kurów	Kurów
Feppmaandu	Neutron
Mogadisu	Mogadischu
Football	Fußball
Madrid	Madrid
Wert	Grün
Xonq	Rot
Safara	Feuer
Lourdes	Lourdes
Niiruw jant	Sonnennebel
Rabat	Rabat
Alse	Algier
Dexub Senegaal	Senegal (Fluss)
Tunis	Tunis
Tripoli (Libi)	Tripolis
Jibuti (dëkk)	Dschibuti (Stadt)
Addis-Abeba	Addis Abeba
Ankara	Ankara
Asmara	Asmara
Njamena	N’Djamena
Nouakchott	Nouakchott
Belgrad	Belgrad
Ndakaaru	Dakar
Banjul	Banjul
Wàll:Royuwaay	Kategorie:Vorlage:
Praia	Praia
Guyaana gu Faraas	Französisch-Guayana
Amman	Amman
Yaunde	Yaoundé
Malabo	Malabo
Libarwil	Libreville
Bangi	Bangui
Kinshasa	Kinshasa
Brasawil	Brazzaville
Bujumbura	Bujumbura
Kigali	Kigali
Dodoma	Dodoma
Nairobi	Nairobi
Lilongwe	Lilongwe
Lusaka	Lusaka
Maputo	Maputo
Kampala	Kampala
Luanda	Luanda
Moroni	Moroni (Komoren)
Antananariwo	Antananarivo
Arare	Harare
Wiktoria (Seysel)	Victoria (Seychellen)
Kër	Haus
Lonkoyoon	Karte (Kartografie)
Dex	Fluss
Osasco	Osasco
Curitiba	Curitiba
Sowwu Afrig	Westafrika
Confucius	Konfuzius
Corbin Bleu	Corbin Bleu
Wàll:Xayma	Kategorie:Mathematik
Duni Faarow	Färöer
Géej gu Diggu	Mittelmeer
Gox	Kontinent
Monzón	Monzón
Weer	Monat
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Almazán	Almazán
Jimbulang	Enzyklopädie
Xët wu njëkk	Wikipedia:Hauptseite
Dëgërlukaay	Widerstand (Bauelement)
Fattalukaay(mbëj)	Kondensator (Elektrotechnik)
Xiirtalukaay	Induktanz
Tugalasi	Eurasien
Babilon	Babylon
Dunu Aland	Åland
Betleyem	Bethlehem
Duni Kanaari	Kanarische Inseln
Xeltu	Philosophie
Rap	Rap
Hebe Camargo	Hebe Camargo
Sahara gu Sowwu	Westsahara
Atali	Antalya
Wàll:Saytubiddiw	Kategorie:Astronomie
Saara	Sahara
Niels Bohr	Niels Bohr
Politig	Politik
Qin Shi Huang	Qin Shihuangdi
Penku gu Diggu	Mittlerer Osten
Réew	Staat
Mbàmbulaan gu Bëj-saalum	Südlicher Ozean
Bët	Auge
Melentaan	Ameisen
Simili	Minute
Taariixu Itaali	Geschichte Italiens
Mburu	Brot
Kiswahili	Swahili (Sprache)
Dereet	Blut
Toulouse	Toulouse
Xam-xamu suuf si ak jawwu ji	Geowissenschaften
Doj	Gestein
Jawwu ji	Atmosphäre (Astronomie)
Koom-koom	Wirtschaftswissenschaft
Yewwute gu ndefar	Industrie
Wàll:Bulgaari	Kategorie:Bulgarien
Njàngat	Literatur
Wàll:Faraas	Kategorie:Frankreich
Wàll:Woy	Kategorie:Musik
Wàll:Njàngat	Kategorie:Literatur
.ac	.ac
Xay	Zivilisation
Gόor	Mann
Tangor	Berg
Yay	Wüste
Ooŋ Koŋ	Hongkong
HTML	Hypertext Markup Language
Xarefulwoon	Atom
Nosteg doxiin	Betriebssystem
Baku	Baku
Mbàmbulaan	Ozean
Budda	Siddhartha Gautama
Premier League	Premier League
Mohammed	Mohammed
Dunu Falkland	Falklandinseln
Ronald Reagan	Ronald Reagan
Gordon Brown	Gordon Brown
Wàll:Benesuwela	Kategorie:Venezuela
Pitax	Tauben
Garab	Baum
Wuutuloxo	Maschine
Xibaar	Information
Paj	Medizin
Saarayego	Sarajevo
Wàll:Breesil	Kategorie:Brasilien
Wàll:Romaani	Kategorie:Rumänien
Xeet	Chemisches Element
Kàttan	Energie
Hip-hop	Hip-Hop
Toolu bijjaakon	Magnetfeld
Dooley ñoddi	Gravitation
Bijjaan	Magnet
Yolaakon	Flüssigkeit
Féex	Vakuum
Yaatuwaay	Flächeninhalt
Saa	Sekunde
Cuub	Malerei
Nataal	Fotografie
Yatt	Bildhauerkunst
Mbëjfeppal	Elektronik
Dawaanu mbëj	Elektrischer Strom
Baraay	Frequenz
Soppalikaay	Transformator
Xaralay xibaar ak jokkoo	Informationstechnik
Duni Virgin (us)	Amerikanische Jungferninseln
Bëj-saalum-penku Asi	Südostasien
Limu réewi àdduna bi	Liste der Staaten der Erde
Njëkk-taariix	Urgeschichte
Réewum ñaari dex yi	Mesopotamien
Las Palmasu Kanaari gu Mag	Las Palmas de Gran Canaria
Arminaat	Kalender
Xarey jóoñe	Kreuzzug
Mbëj	Elektrizität
Montserrat	Montserrat
Ndajem Berlin	Kongokonferenz
Adiratig	Adriatisches Meer
Ngiste	Optik
Makaaw	Macau
Soviet Yi Benno	Sowjetunion
Queen	Queen (Band)
Àdduna	Welt
Wikipedia:Pénc mi	Wikipedia:Projektdiskussion
Guam	Guam
Samoa gu Aamerig	Amerikanisch-Samoa
Northern Mariana Islands	Nördliche Marianen
United States Minor Outlying Islands	United States Minor Outlying Islands
Guwaadalup	Guadeloupe
Martinik	Martinique
Mayoot	Mayotte
Reiñõo	Réunion
Turks and Caicos Islands	Turks- und Caicosinseln
Manchester United	Manchester United
Juróom ñent	Neun
Bien Hoa	Biên Hòa
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Bukarest	Bukarest
Louvre	Louvre
Kureelu tembte bu Poortorikoo	Partido Independentista Puertorriqueño
Tirana	Tirana
Nowel	Weihnachten
Breinigerberg	Breinigerberg
Ségg	Tiger
Kisinawu	Chișinău
Xam-xamu nosukaay	Informatik
Şalom	Şalom
Aruba	Aruba
Juróom ñaar	Sieben
Juróom ñett	Acht
Ayubés	Woche
Ngéej	See
Jeexiituwaay bu Orsay	Musée d’Orsay
Dunu Buwet	Bouvetinsel
Dun	Insel
Juróom benn	Sechs
Moshchena	Moschtschena
Paltoga	Paltoga
Yamoo	Äquator
Mérida, Benesuwela	Mérida (Venezuela)
Podgorika	Podgorica
Baatukaay	Wörterbuch
Bermuda	Bermuda
Palestiin	Palästina (Region)
Waleta	Valletta
Fukk	Zehn
Tene	Gepard
Looy	Eulen
Angila	Anguilla
Waxtu	Stunde
Pichilemu	Pichilemu
Duni Virgin (angalteer)	Britische Jungferninseln
Phan Thiet	Phan Thiet
Goxub Dottub Bëj-gànnaar	Arktis
Ngóora (jëmm)	Leistung (Physik)
Ndëgërlu gu mbëj	Elektrischer Widerstand
Dendu mbëj	Elektrische Spannung
Niccolò Cusano University	Università degli Studi Niccolò Cusano
Mbëjtekkaaral	Elektrostatik
Anet	Dill (Pflanze)
Dunu Kook	Cookinseln
Penku Asi	Ostasien
Diggu Asi	Zentralasien
Bëj-gànnaaru Afrig	Nordafrika
Bëj-saalumu Afrig	Südliches Afrika
Penku Afrig	Ostafrika
Diggu Afrig	Zentralafrika
Bëj-saalumu Tugal	Südeuropa
Penku Tugal	Osteuropa
Bëj-gànnaaru Tugal	Nordeuropa
Sowwu Tugal	Westeuropa
Afritugalasi	Afrika-Eurasien
Diggu Aamerig	Zentralamerika
Maghreb	Maghreb
Weeri wolof	Islamische Zeitrechnung
Ecser	Ecser
Akas	Ahas
Polineesi gu Faraas	Französisch-Polynesien
Dunu Norfolk	Norfolkinsel
Dunu Christmas	Weihnachtsinsel (Australien)
Arabi	Arabische Halbinsel
Paaka	Messer
Pullaar	Fulfulde
Kaledooni-Gu-Bees	Neukaledonien
Way-dëkk	Bevölkerung
Niwe	Niue
Tus-wu-gaar	Geographische Breite
Wolof (làkk)	Wolof (Sprache)
Gëstubiddiw	Astrologie
Seent Eleen	St. Helena (Insel)
Saint Pierre ak Miquelon	Saint-Pierre und Miquelon
Njëkk-xaymà	Ländervorwahlliste sortiert nach Nummern
Tequixquiac	Municipio Tequixquiac
Jeoorji gu Bëj-saalum ak Duni Islaand yi Bëj-saalum	Südgeorgien und die Südlichen Sandwichinseln
Dalub web	Website
Araab	Araber
Wallis ak Futuna	Wallis und Futuna
Pitkeern	Pitcairninseln
Ne-ne	Materie (Physik)
Al Bayda	Al-Baida
Gaal	Boot
Polineesi	Polynesien
Dunu Kokos	Kokosinseln
Siligo	Siligo
Tus-wu-taxaw	Geographische Länge
Dàngin	Gorillas
Xëtu web	Webseite
Tokelau	Tokelau
Tembte	Staatliche Unabhängigkeit
Melaneesi	Melanesien
Téeméer	Hundert
Campora San Giovanni	Campora San Giovanni
Besançon	Besançon
Jinax	Mäuse
Suraas	Orange (Farbe)
Artemis	Artemis
Esaas	Motorenbenzin
Radio Studio 54 Network	Radio Studio 54 Network
Tëriinuw nosukaay	Computerprogramm
Jëf ya	Apostelgeschichte des Lukas
Bejjenu Afrig	Horn von Afrika
Fatt-jawwu	Troposphäre
Al Pacino	Al Pacino
Doolerandu	Mechanik
Sinemaa	Kino
Jum	Rakete
Daawuda	David (Israel)
Seere	Schahāda
Liggéey (jëmm)	Arbeit (Physik)
Penku gu Sori	Ferner Osten
Gëwéel	Tropen
Junni	Tausend
Xaralaymbëj	Elektrotechnik
Waañ	Küche
Andare	Andreas (Apostel)
Bartelemi	Bartholomäus (Apostel)
Alex Ferguson	Alex Ferguson
The Doors	The Doors
Toolu mbëj	Elektrisches Feld
Kàttanug imbiku	Kinetische Energie
Mbootaayu Réewi Jullit yi	Organisation für Islamische Zusammenarbeit
Penku gu Jege	Naher Osten
Royuwaay:Bokktekki	Disambiguierung
Almasi bi	Messias
Bànni Israyil	Israeliten
Aaroona	Aaron (biblische Person)
Anas	Hannas
Jàngoroy Ebola	Ebolafieber
Locri	Locri
Monaako (péy)	Monaco-Ville
Wàll:Filmi	Kategorie:Filmtitel
Aset	Teller
Truong Tan Sang	Trương Tấn Sang
Duran Duran	Duran Duran
Safaanukaay	Wechselstromgenerator
Ron-goxu End	Indischer Subkontinent
Diiwaani dott	Polargebiet
Sahel	Sahelzone
Aadama	Adam
Doxalukaay bu mbëj	Elektromotor
Ametist	Amethyst
Coronel Fabriciano	Coronel Fabriciano
Junj	Symbol
1 Korent	1. Brief des Paulus an die Korinther
Royan	Royan
Lepton	Lepton
Bundesliga	Fußball-Bundesliga
Dencukaay	Datei
Cosaan	Tradition
Jéeri ji	Lithosphäre
Lëkkalekaay	Hyperlink
Nukleon	Nukleon
Beril	Beryll
Xarey àdduna	Weltkrieg
Abdulaay Wàdd	Abdoulaye Wade
Dëgërluwiin	Spezifischer Widerstand
Yolom-jawwu	Stratosphäre
Melosuufug Tugal	Geographie Europas
Dawaan bu safaanu	Wechselstrom
Disc jockey	DJ
2 Piyeer	2. Brief des Petrus
Heard Island and McDonald Islands	Heard und McDonaldinseln
Jurukaayu mbëj	Elektrischer Generator
Ndombo gu mbëj	Elektrische Schaltung
Mamudsu	Mamoudzou
Afrig gu bëj-saalumu-Sahara	Subsahara-Afrika
Sawara	Verbrennung (Chemie)
Raaya wu Senegaal	Flagge des Senegal
Albaatar	Alabaster
Diggi-tabaski	Dhu l-qaʿda
Leopool Sedaar Sengoor	Léopold Sédar Senghor
Dóox	Herzogtum
Bennoo gu Almaañ	Deutsche Einigung
Dawaan bu wéy	Gleichstrom
Digg bu mbëj	Kraftwerk
Kom-kom	Wirtschaft
Pachuca de Soto	Pachuca de Soto
Iyon-jawwu	Ionosphäre
Break dancing	Breakdance
Biti-jawwu	Exosphäre
Asot	Aschdod
Amiin	Amen
Amos	Buch Amos
Bunt: taariix	Portal:Geschichte
Toolu mbëjbijjaakon	Elektromagnetisches Feld
Xiirtalu	Induktivität
Mbëjbijjaan	Elektromagnet
ASP.NET	ASP.NET
Diiwaanu Ndar	Region Saint-Louis
Ayóoba	Ijob
Aakimoo jawwu ji	Weltraumforschung
Dalu Archimède	Archimedisches Prinzip
Imbraatóor gu Mali	Malireich
Barnabas	Barnabas (Apostel)
Alaaji Omar Fuutiyu TAAL	ʿUmar Tall
Tabaski	Dhū l-Hiddscha
Armagedon	Harmagedon
Njël	Sonnenaufgang
Ndeyi-koor	Radschab
Ancos ci Siri	Antiochia am Orontes
Bere	Veria
Areyopas	Areopag
Beelsebul	Beelzebub
Pël	Fulbe
Imbraatóor gu Songaay	Songhaireich
Vesoul	Vesoul
Akayi	Achaea
Alisa	Elischa (Prophet)
Waalo	Waalo
Imbraatóor gu Gana	Reich von Ghana
Kàttanug mbëj	Elektrische Energie
Piipa	Gemeiner Delfin
Doxalukaay bu demandoodi	Drehstrom-Asynchronmaschine
Duusub sin	Sinusoid
Sudaan (diiwaan)	Großlandschaft Sudan
Njeexitu joule	Joulesches Gesetz
Yuusu Nduur	Youssou N’Dour
Bowas	Boas (biblische Person)
Ajara	Hagar
Wolof (askan)	Wolof (Volk)
Amfipolis	Amphipolis
Turu Way-Dëkk	Volksbezeichnung
Baraxlu	Schaʿbān
Ngaté bu digen	Zweibindenbrasse
Sao Tome (dun)	São Tomé (Insel)
Haj	Haddsch
Krushynka	Kruschynka
Arkelawus	Herodes Archelaos
Beer	Gorée
Mboolaay	Gesellschaft
Ndar	Saint-Louis (Senegal)
Yoonu Eŋaca	Via Egnatia
Rakki-gàmmu	Rabiʿ ath-thani
Abadon	Abaddon
Luga	Louga
Aretas	Aretas IV.
Wommat wu mbëj	Elektrischer Leitwert
Jasaan	Pristis pectinata
Asaf	Asa (König)
Barabas	Barabbas
Agaripa	Herodes Agrippa II.
Abel	Abel (Bibel)
Amon	Amon (Juda)
Ousmane Sembène	Ousmane Sembène
Abiyudd	Abihud
Abiyatar	Abjatar
Apolos	Apollos
Akilas	Aquila (Bibelübersetzer)
Aristobul	Aristobulos I.
Agabus	Agabus
Bëer	Adlerfisch
Bitini	Bithynien
Toq	Tokos
Sëriñ Saaliwu Mbàkke	Serigne Saliou Mbacké
Xaaju kol-kol	Westliche und östliche Hemisphäre
Yolet	Violett
Fatik	Fatick
Ahmadou Bamba	Amadou Bamba
Arpagsàdd	Arpachschad
Ben-yamin	Benjamin (Bibel)
Damaris	Damaris (Bibel)
Berenis	Berenike (Tochter Agrippas)
Arkib	Archippus
Aristàrk	Aristarchus von Thessalonice
Saamóori Ture	Samory Touré
Gàmmu	Rabīʿ al-awwal
Ampilyaatus	Ampliatus
Planoise	Planoise
Anañas	Anania
Diggi-gàmmu	Safar
Betsayda	Bethsaida
Andoronikus	Andronicus von Pannonien
Bisub Tabaski	Islamisches Opferfest
Seex Anta Jóob	Cheikh Anta Diop
Dalmasi	Dalmatien
Max	Termiten
Antipas	Antipas von Pergamon
Balaam	Bileam
Wure	Oware
Ancos ci Pisidi	Antiochia in Pisidien
Koom-koomu Afrig	Wirtschaft Afrikas
Diiwaanu Séeju	Region Sédhiou
Baal	Baal (Gottheit)
Cees	Thiès
Aram	Aram (Person)
Yoon	Yoon
Tuubaa	Touba
Antipataris	Antipatris
Kori	Schawwal
Taariixu Aamerig	Geschichte Amerikas
Artemas	Artemas
Diiwaanu Luga	Region Louga
Diiwaanu Koldaa	Region Kolda
Séeréer	Serer
Asos	Assos
RMF FM	RMF FM
Jolof	Jolof
Isipt gu yàgg ga	Geschichte des Alten Ägypten
Melosuufug Afrig	Geographie Afrikas
Baynuk	Bainounka
Bawol	Baol
Barag	Barak (Richter)
Barsabas	Barsabbas
Bartime	Bartimäus
Beliyar	Belial
Mandinke	Mandinka
Maami-koor	Dschumādā th-thāniya
Diiwaanu Siggcoor	Region Ziguinchor
Betani	Bethanien (Bibel)
Betesda	Bethesda
Kaasamaas	Casamance
Santiago Tequixquiac	Santiago Tequixquiac
Limub njiiti Senegaal yil	Liste der Präsidenten des Senegal
Doxalukaay bu demandoo	Synchronmotor
Diiwaanu Kawlax	Region Kaolack
Kawlak	Kaolack
Diiwaanu Cees	Region Thiès
Diiwaanu Tambaakundaa	Region Tambacounda
Rakkaati-gàmmu	Dschumada l-ula
Nosteg galag	Steuerrecht
Diiwaanu Njaaréem	Region Diourbel
Diiwaanu Ndakaaru	Region Dakar
Diiwaanu Maatam	Region Matam
Diiwaanu Fatik	Region Fatick
Kaabu	Kaabu
Oiapoque	Oiapoque
Jurbel	Diourbel
Xolaxol	Langschwanz-Glanzstar
Wuutuloxo bu mbëj	Elektrische Maschine
Akaykus	Achaicus
Elimas	Elymas
Xiirtalug mbëjbijjaakon	Elektromagnetische Induktion
Budka Suflera	Budka Suflera
Tëngéej	Rufisque
Podoor	Podor
Mbuur	M'bour
Diiwaanu Kéedugu	Region Kédougou
Kajoor	Cayor
Diiwaanu Kafrin	Region Kaffrine
Catir	Thyatira
Wersun	Streifenbrasse
Melosuufug Angolaa	Geographie Angolas
Taariixu Senegaal	Geschichte des Senegal
Dalmanuta	Dalmanutha
Joolaa (askan)	Diola
Djibril Dio Mambéty	Djibril Diop Mambéty
Dùn	Dùn
Màkkaanum mbëjfeppal	E-Mail-Adresse
Wàll:Gόor	Kategorie:Männer
Wàll:Almaañ	Kategorie:Deutschland
Wàll:Itaali	Kategorie:Italien
Wàll:Riisi	Kategorie:Russland
Wàll:Kanadaa	Kategorie:Kanada
Wàll:Nguur-Yu-Bennoo	Kategorie:Vereinigtes Königreich
Wàll:Ispaañ	Kategorie:Spanien
Wàll:Sapoŋ	Kategorie:Japan
Wàll:Óstraali	Kategorie:Australien
Wàll:Meksik	Kategorie:Mexiko
Wàll:End	Kategorie:Indien
Wàll:Araabi Sawdit	Kategorie:Saudi-Arabien
Wàll:Israayil	Kategorie:Israel
Wàll:Watikaa	Kategorie:Vatikan
Wàll:Tirki	Kategorie:Türkei
Wàll:Afrig gu Bëj-saalum	Kategorie:Südafrika
Wàll:Isipt	Kategorie:Ägypten
Wàll:Iraan	Kategorie:Iran
Wàll:Arsantin	Kategorie:Argentinien
Balag	Balak (Person)
Abba	Abu (Beiname)
Fuuta Tooro	Fouta Toro
Wàll:Afganistaan	Kategorie:Afghanistan
Wàll:Alseeri	Kategorie:Algerien
Wàll:Banglaades	Kategorie:Bangladesch
Wàll:Kubaa	Kategorie:Kuba
Wàll:Ecoopi	Kategorie:Äthiopien
Wàll:Endoneesi	Kategorie:Indonesien
Wàll:Iraak	Kategorie:Irak
Wàll:Niseeria	Kategorie:Nigeria
Wàll:Poloñ	Kategorie:Polen
Wàll:Portugaal	Kategorie:Portugal
Wàll:Kore gu Bëj-saalum	Kategorie:Südkorea
Wàll:Sudaan	Kategorie:Sudan
Wàll:Suwis	Kategorie:Schweiz
Wàll:Tansani	Kategorie:Tansania
Wàll:Ukreen	Kategorie:Ukraine
Wàll:Wiyetnaam	Kategorie:Vietnam
Wàll:Picc	Kategorie:Vögel
Wàll:Gàncax	Kategorie:Pflanzen
Wàll:Jëmm	Kategorie:Physik
