अफ्रीका	Afrika
सुन	Gold
स्वेज नहर	Sueskanal
वैज्ञानिक	Wissenschaftler
बंगलादेश	Bangladesch
फ्रान्ज काफ्का	Franz Kafka
सुकरात	Sokrates
अंगोला	Angola
भूटान	Bhutan
ट्विटर	Twitter
ब्रुनेई	Brunei
तन्जानिया	Tansania
फिलिपिन्स	Philippinen
मध्य अफ्रिकी गणतन्त्र	Zentralafrikanische Republik
दक्षिणी ध्रुव	Südpol
उत्तरी ध्रुव	Nordpol
आइज्याक न्यूटन	Isaac Newton
अल्बर्ट आइन्स्टाइन	Albert Einstein
पहेंलो	Gelb
प्रमात्रा यान्त्रिकी	Quantenmechanik
जिम्बाब्वे	Simbabwe
बेइजिङ	Peking
बेनिन	Benin
बोत्स्वाना	Botswana
बुर्किना फासो	Burkina Faso
बुरूण्डी	Burundi
कोमोरोस	Komoren
गणतन्त्र कङ्गो	Republik Kongo
प्रजातान्त्रिक गणतन्त्र कंगो	Demokratische Republik Kongo
जिबुटी	Dschibuti
इक्वेटोरियल गिनी	Äquatorialguinea
एरिट्रिया	Eritrea
नयाँ दिल्ली	Neu-Delhi
शिशु	Säugling
गाबोन	Gabun
महात्मा गान्धी	Mohandas Karamchand Gandhi
गाम्बिया	Gambia
गिनी	Guinea
गिनी-बिसाउ	Guinea-Bissau
आइभोरी कोस्ट	Elfenbeinküste
क्यामेरून	Kamerun
केप भर्ड	Kap Verde
लिबिया	Libyen
माडागास्कर	Madagaskar
स्टटगर्ट	Stuttgart
मौरिसस	Mauritius
नाइजेरिया	Nigeria
चार्ल्स डार्विन	Charles Darwin
युगाण्डा	Uganda
रुवाण्डा	Ruanda
सोमालिया	Somalia
नायोबियम	Niob
जवाहरलाल नेहरु	Jawaharlal Nehru
जुलियस सिजर	Gaius Iulius Caesar
इन्द्रेणी	Regenbogen
ह्याम्बर्ग	Hamburg
नरेन्द्र मोदी	Narendra Modi
प्रतिरक्षा प्रणाली	Immunsystem
गुजरात	Gujarat
क्रम-विकास	Evolution
संयुक्त राष्ट्र संघ	Vereinte Nationen
अहमदाबाद	Ahmedabad
भूगोल	Geographie
मुटु	Herz
मस्तिष्क	Gehirn
रङ्ग	Farbe
प्राग	Prag
निलो	Blau
चाँदी	Silber
प्लुटोनियम	Plutonium
नेप्ट्युनियम	Neptunium
विद्युत आवेश	Elektrische Ladung
थोरियम	Thorium
बिल क्लिन्टन	Bill Clinton
ईन्दिरा गान्धी	Indira Gandhi
मुम्बई	Mumbai
आन्ध्र प्रदेश	Andhra Pradesh
अरुणाचल प्रदेश	Arunachal Pradesh
आसाम	Assam
बिहार	Bihar
मिचिगन	Michigan
छत्तीसगढ	Chhattisgarh
गोआ	Goa
हरियाणा	Haryana
हिमाचल प्रदेश	Himachal Pradesh
जम्मू र कश्मीर	Jammu und Kashmir
प्युर्तो रिको	Puerto Rico
झारखण्ड	Jharkhand
कर्नाटक	Karnataka
मध्य प्रदेश	Madhya Pradesh
युसेन बोल्ट	Usain Bolt
महाराष्ट्र	Maharashtra
मणिपुर	Manipur
श्लेसविग-होल्सटीन	Schleswig-Holstein
मेघालय	Meghalaya
उत्तरी राइन	Nordrhein-Westfalen
हेसे	Hessen
राइनल्यान्ड	Rheinland-Pfalz
सारल्यान्ड	Saarland
स्याक्सोनी	Sachsen
जोन लेनन	John Lennon
इलिनाय	Illinois
थाइरिन्जिया	Thüringen
नर्थ डेकोटा	North Dakota
ब्रान्डेनबर्ग	Brandenburg
ब्रेमेन (राज्य)	Freie Hansestadt Bremen
साउथ डेकोटा	South Dakota
मोन्टाना	Montana
वायोमिङ	Wyoming
जेरुसेलम	Jerusalem
आयडाहो	Idaho
वासिङ्टन डी.सी.	Washington (Staat)
रदर्फोर्डियम	Rutherfordium
नेवाडा	Nevada
दुब्नियम	Dubnium
सिबोर्गियम	Seaborgium
हिन्द महासागर	Indischer Ozean
वान कि मुन	Ban Ki-moon
कोफी अन्नान	Kofi Annan
कोलोराडो	Colorado
डार्मस्टासियम	Darmstadtium
डग हमरसल्ड	Dag Hammarskjöld
जाम	Konfitüre
ट्रेग्भी लाई	Trygve Lie
रेन्टगेनियम	Roentgenium
उनुन्बियम	Copernicium
आल्प्स	Alpen
ब्लेइज पास्कल	Blaise Pascal
शिकागो	Chicago
विटल्स	The Beatles
उनुन्ट्रियम	Ununtrium
उनुन्क्वाडियम	Flerovium
उनुन्पेन्टियम	Ununpentium
उनुन्हेक्सियम	Livermorium
उनुन्सेप्टियम	Ununseptium
उनुनक्टियम	Ununoctium
शिशिर ऋतु	Winter
वसन्त	Frühling
गृष्म ऋतु	Sommer
शरद ऋतु	Herbst
ओसामा बिन लादेन	Osama bin Laden
स्पेनी भाषा	Spanische Sprache
योहान सेबास्तियन बाख	Johann Sebastian Bach
फिलाडेल्फिया	Philadelphia
कोलकाता	Kalkutta
चेन्नई	Chennai
दिल्ली	Delhi
ढाका	Dhaka
बेंगलोर	Bangalore
पश्चिम बङ्गाल	Westbengalen
माकुरा	Webspinnen
इस्लामाबाद	Islamabad
त्रिपुरा	Tripura
फल-फूल	Frucht
मुद्रा	Geld
भर्जिनिया	Virginia
वेस्ट भर्जिनिया	West Virginia
न्यू योर्क	New York (Bundesstaat)
रोड आइल्यान्ड	Rhode Island
किरा	Insekten
मेरिल्यान्ड	Maryland
डेलावेयर	Delaware
व्लादिमीर लेनिन	Wladimir Iljitsch Lenin
ओहायो	Ohio
पेन्सिलभेनिया	Pennsylvania
ऊएतेर्सेन्	Uetersen
माइक्रोसफ्ट विन्डोज	Microsoft Windows
न्यु जर्सी	New Jersey
गिब्राल्टार	Gibraltar
इन्डियाना	Indiana
रोजर फेडरर	Roger Federer
जर्जिया (संयुक्त राज्य)	Georgia
जग्रिब	Zagreb
राजस्थान	Rajasthan
टेक्सस	Texas
तमिलनाडु	Tamil Nadu
ब्रुनो मार्स	Bruno Mars
नर्थ क्यारोलाइना	North Carolina
साउथ क्यारोलाइना	South Carolina
टोकियो	Präfektur Tokio
बार्सिलोना	Barcelona
भुइँ कटहर	Ananas
मिसिसिपी	Mississippi (Staat)
फर्डिनान्ड म्यागलन	Ferdinand Magellan
उत्तर प्रदेश	Uttar Pradesh
उत्तराखण्ड	Uttarakhand
स्वीमिङ्ग पुल	Schwimmbecken
मिजोरम	Mizoram
सिक्किम	Sikkim
टेनेसी	Tennessee
अबू धाबी	Abu Dhabi
न्यू मेक्सिको	New Mexico
मिनिसोटा	Minnesota
अन्तर्राष्ट्रिय प्रमाणिक समय	Koordinierte Weltzeit
विस्कान्सिन	Wisconsin
पुणे	Pune
एसी मिलान	AC Mailand
आयोवा	Iowa
नेब्रास्का	Nebraska
कन्सास	Kansas
सुर्ती	Tabak
हिन्दी	Hindi
इन्टरनेट एक्सप्लोरर	Internet Explorer
चुरोट	Zigarette
भगवान गणेश	Ganesha
मिसौरी	Missouri
लुजियाना	Louisiana
केन्टकी	Kentucky
आर्कन्सास	Arkansas
निल आर्मस्ट्रङ	Neil Armstrong
उर्दू	Urdu
ओक्लाहोमा	Oklahoma
भलिबल	Volleyball
म्याडोना (मनोरञ्जनकर्मी)	Madonna (Künstlerin)
कोपनहेगन	Kopenhagen
स्टकहोम	Stockholm
हेल्सिन्की	Helsinki
ब्रातिस्लाभा	Bratislava
बुडापेस्ट	Budapest
बाइबल	Bibel
अर्बियम	Erbium
हनोइ	Hanoi
साँचो येशु गिर्जाघर	Wahre Jesus-Kirche
अङ्ग्रेजी भाषा	Englische Sprache
क्वालालम्पुर	Kuala Lumpur
ताइपेइ	Taipeh
एमेरिसियम	Americium
क्युरियम	Curium
बर्क्लियम	Berkelium
क्यालिफोर्नियम	Californium
आइन्स्टाइनियम	Einsteinium
मेन्देलिभियम	Mendelevium
नोबेलियम	Nobelium
लरेन्सियम	Lawrencium
येरवान प्रान्त	Jerewan
कोन्स्कोभोला	Końskowola
शनिका प्राकृतिक उपग्रहहरु	Liste der Saturnmonde
सन् २०००	2000
सन् २००३	2003
सन् २००२	2002
सन् २००१	2001
सन २०१२	2012
सन् २०११	2011
सन् २०१०	2010
सन् २००९	2009
सन २०१३	2013
सन् २०१४	2014
सन् २०१५	2015
सन् २००८	2008
जाभास्क्रिप्ट	JavaScript
सन् २००४	2004
सन् २००५	2005
सन् २००६	2006
सन् २००७	2007
सन् १९००	1900
सन् १९०१	1901
सन् १९०२	1902
फ्लोरेन्स	Florenz
सन् १९०३	1903
सन् १९०४	1904
सन् १९०५	1905
सन् १९०७	1907
सन् १९०६	1906
सन् १९०८	1908
सन् १९०९	1909
सन् १९९२	1992
सन् १९९१	1991
सन् १९९०	1990
सन् १९९३	1993
सन् १९९४	1994
सन् १९९५	1995
सन् १९९६	1996
सन् १९१०	1910
सन् १९११	1911
सन् १९१२	1912
सन् १९१३	1913
सन् १९१४	1914
सन् १९१५	1915
सन् १९१६	1916
सन् १९९७	1997
सन् १९९८	1998
सन् १९९९	1999
सन् १९१७	1917
सन् १९१८	1918
खाद्यपदार्थ	Lebensmittel
सर्प	Schlangen
१ जनवरी	1. Januar
२ जनवरी	2. Januar
सुभाषचन्द्र बोस	Subhash Chandra Bose
सन् १९२०	1920
३ जनवरी	3. Januar
सन् १९१९	1919
सन् १९२१	1921
सन् १९२२	1922
४ जनवरी	4. Januar
सन् १९२३	1923
सन् १९२४	1924
५ जनवरी	5. Januar
६ जनवरी	6. Januar
इलेक्ट्रोन	Elektron
७ जनवरी	7. Januar
८ जनवरी	8. Januar
९ जनवरी	9. Januar
१० जनवरी	10. Januar
११ जनवरी	11. Januar
१२ जनवरी	12. Januar
१३ जनवरी	13. Januar
१४ जनवरी	14. Januar
१५ जनवरी	15. Januar
१६ जनवरी	16. Januar
टम ह्याङ्क्स	Tom Hanks
१७ जनवरी	17. Januar
१८ जनवरी	18. Januar
१९ जनवरी	19. Januar
२० जनवरी	20. Januar
२१ जनवरी	21. Januar
२२ जनवरी	22. Januar
२३ जनवरी	23. Januar
२४ जनवरी	24. Januar
२५ जनवरी	25. Januar
मिन्स्क	Minsk
२६ जनवरी	26. Januar
माइक्रोसफ्ट	Microsoft
२७ जनवरी	27. Januar
२८ जनवरी	28. Januar
२९ जनवरी	29. Januar
३० जनवरी	30. Januar
३१ जनवरी	31. Januar
प्रोटोन	Proton
२ डिसेम्बर	2. Dezember
१ डिसेम्बर	1. Dezember
३ डिसेम्बर	3. Dezember
७ डिसेम्बर	7. Dezember
५ डिसेम्बर	5. Dezember
८ डिसेम्बर	8. Dezember
१० डिसेम्बर	10. Dezember
६ डिसेम्बर	6. Dezember
९ डिसेम्बर	9. Dezember
४ डिसेम्बर	4. Dezember
१ फेब्रुअरी	1. Februar
२ फेब्रुअरी	2. Februar
३ फेब्रुअरी	3. Februar
कुरुफ	Kurów
४ फेब्रुअरी	4. Februar
५ फेब्रुअरी	5. Februar
६ फेब्रुअरी	6. Februar
७ फेब्रुअरी	7. Februar
८ फेब्रुअरी	8. Februar
९ फेब्रुअरी	9. Februar
१० फेब्रुअरी	10. Februar
रसायनशास्त्र	Chemie
१४ फेब्रुअरी	14. Februar
१३ फेब्रुअरी	13. Februar
१५ फेब्रुअरी	15. Februar
११ फेब्रुअरी	11. Februar
१२ फेब्रुअरी	12. Februar
रोबिन भान पर्सी	Robin van Persie
१९ फेब्रुअरी	19. Februar
१७ फेब्रुअरी	17. Februar
१६ फेब्रुअरी	16. Februar
१८ फेब्रुअरी	18. Februar
२० फेब्रुअरी	20. Februar
न्यूट्रोन	Neutron
२१ फेब्रुअरी	21. Februar
२२ फेब्रुअरी	22. Februar
२३ फेब्रुअरी	23. Februar
२४ फेब्रुअरी	24. Februar
२५ फेब्रुअरी	25. Februar
२६ फेब्रुअरी	26. Februar
२७ फेब्रुअरी	27. Februar
२८ फेब्रुअरी	28. Februar
११ डिसेम्बर	11. Dezember
२९ फेब्रुअरी	29. Februar
१२ डिसेम्बर	12. Dezember
१३ डिसेम्बर	13. Dezember
१४ डिसेम्बर	14. Dezember
१५ डिसेम्बर	15. Dezember
२ मार्च	2. März
३ मार्च	3. März
५ मार्च	5. März
१ मार्च	1. März
७ मार्च	7. März
८ मार्च	8. März
४ मार्च	4. März
१० मार्च	10. März
११ मार्च	11. März
६ मार्च	6. März
१३ मार्च	13. März
९ मार्च	9. März
१२ मार्च	12. März
१५ मार्च	15. März
१४ मार्च	14. März
१६ डिसेम्बर	16. Dezember
१७ डिसेम्बर	17. Dezember
१६ मार्च	16. März
१७ मार्च	17. März
१८ मार्च	18. März
१९ मार्च	19. März
सन् १९८९	1989
सन् १९८८	1988
२० मार्च	20. März
सन् १९८७	1987
सन् १९८६	1986
सन् १९८५	1985
सन् १९८४	1984
२१ मार्च	21. März
सन् १९८३	1983
२२ मार्च	22. März
सन् १९८२	1982
सन् १९८१	1981
१८ डिसेम्बर	18. Dezember
सन् १९८०	1980
२३ मार्च	23. März
१९ डिसेम्बर	19. Dezember
२४ मार्च	24. März
२५ मार्च	25. März
२० डिसेम्बर	20. Dezember
२६ मार्च	26. März
२७ मार्च	27. März
२८ मार्च	28. März
२९ मार्च	29. März
३० मार्च	30. März
३१ मार्च	31. März
सन् १९७०	1970
सन् १९७१	1971
सन् १९७२	1972
सन् १९७३	1973
सन् १९७४	1974
सन् १९७५	1975
सन् १९७६	1976
सन् १९७७	1977
सन् १९७८	1978
सन् १९७९	1979
सन् १९६९	1969
३० वर्षे युद्ध	Dreißigjähriger Krieg
सर्पिल गैलेक्सी	Spiralgalaxie
डन्डीय सर्पिल गैलेक्सी	Balkenspiralgalaxie
१५ अप्रिल	15. April
१३ अप्रिल	13. April
१२ अप्रिल	12. April
१४ अप्रिल	14. April
११ अप्रिल	11. April
१० अप्रिल	10. April
८ अप्रिल	8. April
९ अप्रिल	9. April
७ अप्रिल	7. April
६ अप्रिल	6. April
५ अप्रिल	5. April
४ अप्रिल	4. April
३ अप्रिल	3. April
१ अप्रिल	1. April
२ अप्रिल	2. April
१६ अप्रिल	16. April
१७ अप्रिल	17. April
१८ अप्रिल	18. April
१९ अप्रिल	19. April
२० अप्रिल	20. April
२१ अप्रिल	21. April
२२ अप्रिल	22. April
२३ अप्रिल	23. April
२४ अप्रिल	24. April
२५ अप्रिल	25. April
२६ अप्रिल	26. April
२७ अप्रिल	27. April
२८ अप्रिल	28. April
२९ अप्रिल	29. April
३० अप्रिल	30. April
१ मे	1. Mai
२ मे	2. Mai
३ मे	3. Mai
४ मे	4. Mai
५ मे	5. Mai
६ मे	6. Mai
७ मे	7. Mai
८ मे	8. Mai
९ मे	9. Mai
१० मे	10. Mai
११ मे	11. Mai
१२ मे	12. Mai
१३ मे	13. Mai
१४ मे	14. Mai
१५ मे	15. Mai
१६ मे	16. Mai
१७ मे	17. Mai
१८ मे	18. Mai
१९ मे	19. Mai
२० मे	20. Mai
२१ मे	21. Mai
२२ मे	22. Mai
२३ मे	23. Mai
२४ मे	24. Mai
२५ मे	25. Mai
२६ मे	26. Mai
२७ मे	27. Mai
२८ मे	28. Mai
२९ मे	29. Mai
३० मे	30. Mai
३१ मे	31. Mai
पल मेकार्टनी	Paul McCartney
२१ डिसेम्बर	21. Dezember
१४ जुन	14. Juni
१५ जुन	15. Juni
१३ जुन	13. Juni
१० जुन	10. Juni
७ जुन	7. Juni
११ जुन	11. Juni
९ जुन	9. Juni
१२ जुन	12. Juni
६ जुन	6. Juni
८ जुन	8. Juni
५ जुन	5. Juni
३ जुन	3. Juni
२ जुन	2. Juni
१ जुन	1. Juni
४ जुन	4. Juni
२२ डिसेम्बर	22. Dezember
जर्ज ह्यारिसन	George Harrison
सन् १९६८	1968
सन् १९६७	1967
सन् १९६६	1966
सन् १९६५	1965
सन् १९६४	1964
१६ जुन	16. Juni
३० जुन	30. Juni
२९ जुन	29. Juni
२८ जुन	28. Juni
२६ जुन	26. Juni
२५ जुन	25. Juni
२२ जुन	22. Juni
२७ जुन	27. Juni
२४ जुन	24. Juni
२० जून	20. Juni
२३ जुन	23. Juni
१९ जून	19. Juni
१८ जुन	18. Juni
२१ जून	21. Juni
१७ जुन	17. Juni
२३ डिसेम्बर	23. Dezember
अर्नोल्ड स्वार्जनेगर	Arnold Schwarzenegger
१५ जुलाई	15. Juli
१३ जुलाई	13. Juli
१२ जुलाई	12. Juli
१० जुलाई	10. Juli
९ जुलाई	9. Juli
१४ जुलाई	14. Juli
८ जुलाई	8. Juli
७ जुलाई	7. Juli
६ जुलाई	6. Juli
५ जुलाई	5. Juli
२ जुलाई	2. Juli
४ जुलाई	4. Juli
३ जुलाई	3. Juli
१ जुलाई	1. Juli
११ जुलाई	11. Juli
२४ डिसेम्बर	24. Dezember
साशा ग्रे	Sasha Grey
३१ जुलाई	31. Juli
३० जुलाई	30. Juli
२९ जुलाई	29. Juli
२८ जुलाई	28. Juli
२७ जुलाई	27. Juli
२५ जुलाई	25. Juli
२४ जुलाई	24. Juli
२३ जुलाई	23. Juli
२६ जुलाई	26. Juli
